first_bug_hit_ratio,second_bug_hit_ratio,file
0.08,0.46,3
0.08,0.47,2
0.08,0.5,2
0.08,0.53,1
0.08,0.54,1
0.08,0.55,1
0.08,0.62,1
0.08,0.75,1
0.09,0.0,252
0.09,0.02,27
0.09,0.03,50
0.09,0.04,81
0.09,0.05,80
0.09,0.06,62
0.09,0.07,76
0.09,0.08,81
0.09,0.09,44
0.09,0.1,50
0.09,0.11,47
0.09,0.12,27
0.09,0.13,35
0.09,0.14,40
0.09,0.15,38
0.09,0.16,16
0.09,0.17,34
0.09,0.18,33
0.09,0.19,15
0.09,0.2,27
0.09,0.21,19
0.09,0.22,14
0.09,0.23,16
0.09,0.24,13
0.09,0.25,15
0.09,0.26,6
0.09,0.27,12
0.09,0.28,2
0.09,0.29,5
0.09,0.3,11
0.09,0.31,9
0.09,0.32,1
0.09,0.33,11
0.09,0.34,1
0.09,0.35,2
0.09,0.36,8
0.09,0.37,3
0.09,0.38,6
0.09,0.39,2
0.09,0.4,4
0.09,0.41,1
0.09,0.42,6
0.09,0.43,3
0.09,0.47,1
0.09,0.5,3
0.09,0.53,1
0.09,0.54,1
0.09,0.55,1
0.09,0.6,2
0.09,0.73,1
0.1,0.0,361
0.1,0.01,15
0.1,0.02,81
0.1,0.03,203
0.1,0.04,132
0.1,0.05,128
0.1,0.06,149
0.1,0.07,98
0.1,0.08,117
0.1,0.09,80
0.1,0.1,75
0.1,0.11,53
0.1,0.12,18
0.1,0.13,59
0.1,0.14,33
0.1,0.15,40
0.1,0.16,13
0.1,0.17,47
0.1,0.18,41
0.1,0.19,25
0.1,0.2,36
0.1,0.21,28
0.1,0.22,15
0.1,0.23,10
0.1,0.24,10
0.1,0.25,27
0.1,0.26,3
0.1,0.27,23
0.1,0.28,2
0.1,0.29,11
0.1,0.3,20
0.1,0.31,6
0.1,0.32,3
0.1,0.33,12
0.1,0.35,1
0.1,0.36,6
0.1,0.37,2
0.1,0.38,7
0.1,0.39,3
0.1,0.4,6
0.1,0.41,1
0.1,0.42,5
0.1,0.43,1
0.1,0.44,4
0.1,0.45,5
0.1,0.46,1
0.1,0.5,5
0.1,0.6,1
0.1,0.64,2
0.1,0.79,1
0.11,0.0,136
0.11,0.01,2
0.11,0.02,16
0.11,0.03,33
0.11,0.04,42
0.11,0.05,68
0.11,0.06,72
0.11,0.07,51
0.11,0.08,71
0.11,0.09,45
0.11,0.1,41
0.11,0.11,31
0.11,0.12,34
0.11,0.13,36
0.11,0.14,27
0.11,0.15,33
0.11,0.16,18
0.11,0.17,21
0.11,0.18,26
0.11,0.19,14
0.11,0.2,34
0.11,0.21,9
0.11,0.22,7
0.11,0.23,16
0.11,0.24,12
0.11,0.25,14
0.11,0.26,5
0.11,0.27,5
0.11,0.28,1
0.11,0.29,7
0.11,0.3,13
0.11,0.31,5
0.11,0.32,5
0.11,0.33,8
0.11,0.35,1
0.11,0.36,2
0.11,0.38,4
0.11,0.39,2
0.11,0.4,1
0.11,0.41,2
0.11,0.42,2
0.11,0.43,2
0.11,0.44,1
0.11,0.45,3
0.11,0.46,1
0.11,0.47,2
0.11,0.5,2
0.11,0.58,1
0.11,0.64,1
0.11,0.75,1
0.12,0.0,119
0.12,0.01,2
0.12,0.02,7
0.12,0.03,21
0.12,0.04,25
0.12,0.05,47
0.12,0.06,30
0.12,0.07,38
0.12,0.08,50
0.12,0.09,29
0.12,0.1,25
0.12,0.11,28
0.12,0.12,15
0.12,0.13,23
0.12,0.14,15
0.12,0.15,29
0.12,0.16,11
0.12,0.17,15
0.12,0.18,20
0.12,0.19,11
0.12,0.2,28
0.12,0.21,17
0.12,0.22,3
0.12,0.23,12
0.12,0.24,6
0.12,0.25,13
0.12,0.26,5
0.12,0.27,11
0.12,0.28,2
0.12,0.29,6
0.12,0.3,6
0.12,0.31,1
0.12,0.32,2
0.12,0.33,4
0.12,0.35,1
0.12,0.36,3
0.12,0.37,1
0.12,0.38,1
0.12,0.39,1
0.12,0.41,1
0.12,0.42,2
0.12,0.43,1
0.12,0.45,1
0.12,0.46,2
0.12,0.47,1
0.12,0.5,2
0.13,0.0,191
0.13,0.01,2
0.13,0.02,11
0.13,0.03,15
0.13,0.04,40
0.13,0.05,47
0.13,0.06,72
0.13,0.07,53
0.13,0.08,87
0.13,0.09,46
0.13,0.1,59
0.13,0.11,43
0.13,0.12,19
0.13,0.13,38
0.13,0.14,40
0.13,0.15,37
0.13,0.16,20
0.13,0.17,33
0.13,0.18,18
0.13,0.19,17
0.13,0.2,37
0.13,0.21,18
0.13,0.22,17
0.13,0.23,14
0.13,0.24,9
0.13,0.25,28
0.13,0.26,7
0.13,0.27,16
0.13,0.28,7
0.13,0.29,10
0.13,0.3,8
0.13,0.31,7
0.13,0.32,5
0.13,0.33,8
0.13,0.35,4
0.13,0.36,6
0.13,0.37,1
0.13,0.38,2
0.13,0.39,2
0.13,0.4,9
0.13,0.42,4
0.13,0.43,2
0.13,0.44,2
0.13,0.45,1
0.13,0.47,1
