first_bug_hit_ratio,second_bug_hit_ratio,files
0.19,0.26,1
0.19,0.28,1
0.19,0.36,1
0.19,0.38,1
0.19,0.43,1
0.19,0.55,1
0.2,0,19
0.2,0.02,1
0.2,0.03,2
0.2,0.04,3
0.2,0.05,3
0.2,0.06,4
0.2,0.08,3
0.2,0.09,3
0.2,0.1,6
0.2,0.11,2
0.2,0.12,4
0.2,0.13,3
0.2,0.14,2
0.2,0.15,3
0.2,0.18,1
0.2,0.19,1
0.2,0.2,3
0.2,0.21,1
0.2,0.23,2
0.2,0.24,1
0.2,0.25,1
0.2,0.27,2
0.2,0.3,1
0.2,0.33,1
0.2,0.37,2
0.2,0.4,1
0.2,0.42,3
0.2,0.45,1
0.2,0.5,1
0.2,0.64,1
0.21,0,4
0.21,0.02,1
0.21,0.03,1
0.21,0.05,1
0.21,0.06,1
0.21,0.07,2
0.21,0.08,1
0.21,0.09,2
0.21,0.1,1
0.21,0.12,1
0.21,0.13,3
0.21,0.14,1
0.21,0.15,2
0.21,0.16,1
0.21,0.17,2
0.21,0.19,1
0.21,0.2,1
0.21,0.21,1
0.21,0.22,1
0.21,0.26,1
0.21,0.27,2
0.21,0.3,1
0.21,0.31,1
0.21,0.33,1
0.21,0.41,2
0.21,0.42,1
0.21,0.45,1
0.21,0.47,1
0.21,0.65,1
0.22,0,2
0.22,0.05,2
0.22,0.06,3
0.22,0.07,1
0.22,0.08,2
0.22,0.09,1
0.22,0.1,2
0.22,0.11,1
0.22,0.13,1
0.22,0.15,1
0.22,0.18,1
0.22,0.2,2
0.22,0.21,1
0.22,0.22,1
0.22,0.26,1
0.22,0.28,2
0.22,0.31,1
0.22,0.38,1
0.22,0.4,1
0.22,0.45,1
0.23,0,7
0.23,0.03,1
0.23,0.05,2
0.23,0.07,2
0.23,0.08,2
0.23,0.1,1
0.23,0.11,1
0.23,0.13,4
0.23,0.14,2
0.23,0.17,1
0.23,0.18,2
0.23,0.2,1
0.23,0.21,1
0.23,0.25,1
0.23,0.27,2
0.23,0.3,1
0.23,0.31,2
0.23,0.37,1
0.23,0.4,3
0.23,0.44,1
0.23,0.46,1
0.23,0.55,1
0.24,0,2
0.24,0.08,1
0.24,0.09,2
0.24,0.1,1
0.24,0.12,1
0.24,0.13,1
0.24,0.14,2
0.24,0.17,1
0.24,0.2,2
0.24,0.21,1
0.24,0.23,2
0.24,0.32,1
0.24,0.4,1
0.24,0.45,1
0.24,0.46,1
0.25,0,5
0.25,0.03,1
0.25,0.05,1
0.25,0.06,1
0.25,0.07,2
0.25,0.08,6
0.25,0.09,2
0.25,0.1,2
0.25,0.11,2
0.25,0.13,3
0.25,0.14,3
0.25,0.15,3
0.25,0.17,1
0.25,0.2,1
0.25,0.21,2
0.25,0.27,3
0.25,0.31,1
0.25,0.33,2
0.25,0.34,1
0.25,0.36,1
0.25,0.41,1
0.25,0.43,1
0.25,0.44,1
0.25,0.5,1
0.26,0.05,2
0.26,0.06,1
0.26,0.08,2
0.26,0.09,1
0.26,0.1,2
0.26,0.11,1
0.26,0.14,1
0.26,0.18,1
0.26,0.2,1
0.26,0.21,1
0.26,0.24,1
0.26,0.25,1
0.26,0.26,1
0.26,0.27,1
0.26,0.28,2
