feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
EmptyForIteratorPad,-0.01,0.08,0.1014837636888817,4.0,0.12323179268930914,0.12391188115464347,7964.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.05
MethodName,-0.01,0.08,0.10554430227030205,11.0,0.12327399235274827,0.12391738969822233,7957.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.05
AvoidEscapedUnicodeCharacters,-0.01,0.06,0.06177441237282137,5.0,0.12324497386293759,0.12392336579004706,7963.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.02
LocalFinalVariableName,-0.07,0.04,0.02242912891336863,102.0,0.12423134198508101,0.12434741113074821,7866.0,0.94,0.01,0.0,-1.0,0.0,0.0,0.02,1.0,-0.0
LocalVariableName,-0.07,0.04,0.029348529179848686,94.0,0.1241697581710169,0.12428259923733545,7874.0,0.94,0.01,0.0,-1.0,0.0,0.0,0.03,2.0,-0.0
SuperFinalize,-0.01,0.0,,1.0,0.12322369672183416,0.12390096904997247,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,-0.05
NoFinalizer,-0.02,0.0,0.0,2.0,0.12323916542591673,0.1239010528828616,7966.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,-0.05
MethodLength,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
OuterTypeFilename,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
RegexpOnFilename,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
CovariantEquals,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
StringLiteralEquality,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
EmptyForInitializerPad,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
MethodCount,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
MissingOverride,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
NoLineWrap,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
IllegalToken,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
any-HEADER CHECKS,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
FileLength,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
DefaultComesLast,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
RequireThis,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
SuppressWarnings,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
UpperEll,,,,,0.12320823190045842,0.12390088330732901,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,
