repo_name,robust_smells_num,random_metric,full_file_name,NPathComplexity,FallThrough,JavadocParagraph,TrailingComment,IllegalImport,AvoidStaticImport,IllegalCatch,ParameterAssignment,UnnecessaryParentheses
wso2/carbon-apimgt,1.0,14,components/apimgt/org.wso2.carbon.apimgt.keymgt.client/src/main/java/org/wso2/carbon/apimgt/keymgt/client/SubscriberKeyMgtClient.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,4.0,12,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/security/keys/APIKeyValidatorClient.java,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
wso2/carbon-apimgt,5.0,5,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/WebsocketInboundHandler.java,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
wso2/carbon-apimgt,34.0,3,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/AbstractAPIManager.java,2.0,0.0,7.0,8.0,0.0,0.0,1.0,7.0,9.0
wso2/carbon-apimgt,7.0,2,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/AMDefaultKeyManagerImpl.java,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
wso2/carbon-apimgt,15.0,2,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/soaptorest/util/SOAPOperationBindingUtils.java,3.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0
wso2/carbon-apimgt,2.0,2,components/sso-hostobject/org.wso2.carbon.hostobjects.sso/src/main/java/org/wso2/carbon/hostobjects/sso/internal/builder/AuthReqBuilder.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
wso2/carbon-apimgt,3.0,1,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/certificatemgt/CertificateManagerImpl.java,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
wso2-extensions/identity-inbound-auth-oauth,1.0,99,components/org.wso2.carbon.identity.oauth.endpoint/src/main/java/org/wso2/carbon/identity/oauth/endpoint/user/impl/UserInfoJWTResponse.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,2.0,94,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/dao/RequestObjectDAOImpl.java,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,5.0,93,components/org.wso2.carbon.identity.oidc.session/src/main/java/org/wso2/carbon/identity/oidc/session/servlet/OIDCLogoutServlet.java,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
wso2-extensions/identity-inbound-auth-oauth,7.0,91,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/token/handlers/grant/saml/SAML2BearerGrantHandler.java,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
wso2-extensions/identity-inbound-auth-oauth,6.0,91,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/AbstractUserInfoResponseBuilder.java,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0
wso2-extensions/identity-inbound-auth-oauth,6.0,88,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/internal/OAuthApplicationMgtListener.java,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,2.0,87,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/dao/TokenManagementDAOImpl.java,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,1.0,76,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/internal/OpenIDConnectServiceComponent.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,2.0,76,components/org.wso2.carbon.identity.oauth.endpoint/src/main/java/org/wso2/carbon/identity/oauth/endpoint/jwks/JwksEndpoint.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
wso2-extensions/identity-inbound-auth-oauth,27.0,76,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/dao/AccessTokenDAOImpl.java,6.0,0.0,12.0,0.0,0.0,1.0,0.0,8.0,0.0
wso2-extensions/identity-inbound-auth-oauth,1.0,72,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth/internal/OAuthServiceComponent.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,1.0,72,components/org.wso2.carbon.identity.oauth.endpoint/src/main/java/org/wso2/carbon/identity/oauth/endpoint/expmapper/InvalidRequestExceptionMapper.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,7.0,68,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/token/handlers/grant/AbstractAuthorizationGrantHandler.java,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0
wso2-extensions/identity-inbound-auth-oauth,1.0,67,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/token/handlers/grant/saml/SAML1BearerGrantHandler.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,2.0,65,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/authz/handlers/TokenResponseTypeHandler.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wso2-extensions/identity-inbound-auth-oauth,9.0,63,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/DefaultIDTokenBuilder.java,2.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0
wso2-extensions/identity-inbound-auth-oauth,7.0,60,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/DefaultOIDCClaimsCallbackHandler.java,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,3.0,56,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/util/ClaimsUtil.java,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wso2-extensions/identity-inbound-auth-oauth,1.0,55,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/client/authentication/PublicClientAuthenticator.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wso2-extensions/identity-inbound-auth-oauth,1.0,52,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/validators/JDBCScopeValidator.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,6.0,51,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/dao/ScopeClaimMappingDAOImpl.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
wso2-extensions/identity-inbound-auth-oauth,39.0,51,components/org.wso2.carbon.identity.oauth.endpoint/src/main/java/org/wso2/carbon/identity/oauth/endpoint/authz/OAuth2AuthzEndpoint.java,3.0,0.0,3.0,5.0,0.0,25.0,0.0,1.0,2.0
wso2-extensions/identity-inbound-auth-oauth,2.0,43,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/token/AccessTokenIssuer.java,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,15.0,42,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/OpenIDConnectClaimFilterImpl.java,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,2.0
wso2-extensions/identity-inbound-auth-oauth,6.0,40,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/token/JWTTokenIssuer.java,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
wso2-extensions/identity-inbound-auth-oauth,2.0,34,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/dao/AuthorizationCodeDAOImpl.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
wso2-extensions/identity-inbound-auth-oauth,4.0,30,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/openidconnect/OIDCClaimUtil.java,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
wso2-extensions/identity-inbound-auth-oauth,1.0,28,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth/listener/IdentityOathEventListener.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,2.0,27,components/org.wso2.carbon.identity.oauth.endpoint/src/main/java/org/wso2/carbon/identity/oauth/endpoint/introspection/OAuth2IntrospectionEndpoint.java,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,12.0,21,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/validators/TokenValidationHandler.java,3.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0
wso2-extensions/identity-inbound-auth-oauth,6.0,18,components/org.wso2.carbon.identity.oauth.endpoint/src/main/java/org/wso2/carbon/identity/oauth/endpoint/util/ClaimUtil.java,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,3.0,17,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/internal/OAuth2ServiceComponent.java,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,4.0,13,components/org.wso2.carbon.identity.oauth.dcr/src/main/java/org/wso2/carbon/identity/oauth/dcr/service/DCRMService.java,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,3.0,10,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/authz/handlers/util/ResponseTypeHandlerUtil.java,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,7.0,10,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth/OAuthAdminService.java,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
wso2-extensions/identity-inbound-auth-oauth,3.0,7,components/org.wso2.carbon.identity.oauth.endpoint/src/main/java/org/wso2/carbon/identity/oauth/endpoint/user/impl/UserInforRequestDefaultValidator.java,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
wso2-extensions/identity-inbound-auth-oauth,1.0,7,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth2/client/authentication/BasicAuthClientAuthenticator.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wso2-extensions/identity-inbound-auth-oauth,3.0,4,components/org.wso2.carbon.identity.oauth/src/main/java/org/wso2/carbon/identity/oauth/OAuthUtil.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
