Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_random_metric,cond_mean_diff_random_metric,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
22,InnerAssignment,285.0,23894.0,775.0,8081.0,33035.0,0.73,0.25,0.03,0.27,0.06,0.03,0.03,0.03,0.73,0.0,-0.02,0.82,0.2,0.0,,32,11444,53,10999,22528,0.51,0.49,0.0,0.38,-0.23,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.04,0.0,,50.839622641509436,0.8360809433105558,True,0.11586953706161,0.05000000000000005,892,51,6559,126128,5687,122506,260880,0.51,0.49,0.05,0.54,0.08,0.05,0.04,0.05,0.5,0.01,0.01,1.0,0.27,0.0,,9,73.0,12328.0,185.0,3948.0,16534.0,0.75,0.24,0.02,0.28,0.16,0.02,0.01,0.02,0.75,0.0,-0.01,0.8,0.12,0.0,,93,4.0,6363.0,13.0,2056.0,8436.0,0.75,0.24,0.0,0.24,-0.04,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.02,0.0,,41,192.0,5523.0,593.0,1757.0,8065.0,0.71,0.24,0.1,0.24,0.01,0.1,0.1,0.08,0.71,0.0,-0.07,0.8,0.46,0.0,
23,TodoComment,680.0,22823.0,1846.0,7686.0,33035.0,0.71,0.25,0.08,0.27,0.06,0.08,0.07,0.07,0.71,0.0,-0.05,0.82,0.39,0.0,,165,11270,227,10866,22528,0.51,0.49,0.02,0.42,-0.14,0.01,0.02,0.01,0.51,-0.0,-0.01,1.0,0.13,0.0,,51.13222486144101,1.1286831632421297,True,0.1094237452549462,0.11,2077,259,3220,128402,3413,125845,260880,0.5,0.49,0.03,0.49,-0.02,0.02,0.03,0.02,0.51,-0.0,-0.0,1.0,0.17,0.0,,21,255.0,11811.0,702.0,3766.0,16534.0,0.73,0.24,0.06,0.27,0.1,0.06,0.06,0.05,0.73,0.0,-0.04,0.8,0.32,0.0,,50,28.0,6296.0,80.0,2032.0,8436.0,0.75,0.24,0.01,0.26,0.06,0.01,0.01,0.01,0.75,0.0,-0.01,0.8,0.1,0.0,,27,368.0,5023.0,1093.0,1581.0,8065.0,0.67,0.24,0.18,0.25,0.04,0.19,0.18,0.12,0.66,0.01,-0.12,0.8,0.68,0.0,
24,MissingDeprecated,239.0,24018.0,651.0,8127.0,33035.0,0.73,0.25,0.03,0.27,0.06,0.03,0.03,0.03,0.73,0.0,-0.02,0.82,0.18,0.0,,81,11401,96,10950,22528,0.51,0.49,0.01,0.46,-0.07,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.07,0.0,,50.864044943820225,0.8605032456213451,False,0.06573097655374156,0.17000000000000004,733,147,1651,130111,1704,127414,260880,0.51,0.49,0.01,0.49,-0.01,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.1,0.0,,5,78.0,12320.0,193.0,3943.0,16534.0,0.75,0.24,0.02,0.29,0.18,0.02,0.02,0.02,0.75,0.0,-0.01,0.8,0.12,0.0,,126,3.0,6351.0,25.0,2057.0,8436.0,0.75,0.24,0.0,0.11,-0.56,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.03,0.0,,28,148.0,5673.0,443.0,1801.0,8065.0,0.72,0.24,0.07,0.25,0.04,0.08,0.07,0.06,0.72,0.0,-0.05,0.8,0.38,0.0,
25,InterfaceMemberImpliedModifier,822.0,22384.0,2285.0,7544.0,33035.0,0.7,0.25,0.09,0.26,0.04,0.1,0.09,0.08,0.7,0.0,-0.06,0.82,0.45,0.0,,87,11412,85,10944,22528,0.51,0.49,0.01,0.51,0.03,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.06,0.0,,49.836176375925334,-0.16736532227355386,False,0.3380423122842905,0.040000000000000036,2167,84,3547,127909,3906,125518,260880,0.5,0.49,0.03,0.48,-0.04,0.03,0.03,0.03,0.5,-0.0,-0.0,1.0,0.19,0.0,,33,268.0,11730.0,783.0,3753.0,16534.0,0.73,0.24,0.06,0.25,0.05,0.07,0.06,0.06,0.72,0.0,-0.04,0.8,0.34,0.0,,55,313.0,5456.0,920.0,1747.0,8436.0,0.68,0.24,0.15,0.25,0.04,0.15,0.14,0.11,0.68,0.0,-0.1,0.8,0.6,0.0,,29,206.0,5499.0,617.0,1743.0,8065.0,0.71,0.24,0.1,0.25,0.04,0.11,0.1,0.08,0.71,0.0,-0.07,0.8,0.48,0.0,
26,AnnotationLocation,141.0,24267.0,402.0,8225.0,33035.0,0.74,0.25,0.02,0.26,0.03,0.02,0.02,0.02,0.74,0.0,-0.01,0.82,0.12,0.0,,35,11464,33,10996,22528,0.51,0.49,0.0,0.51,0.05,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.03,0.0,,50.94843462246777,0.944892924268892,True,0.007966577080126575,0.13,306,46,94,131723,92,128971,260880,0.51,0.49,0.0,0.51,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,95,54.0,12339.0,174.0,3967.0,16534.0,0.75,0.24,0.01,0.24,-0.03,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.1,0.0,,103,25.0,6292.0,84.0,2035.0,8436.0,0.75,0.24,0.01,0.23,-0.06,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.1,0.0,,10,57.0,5967.0,149.0,1892.0,8065.0,0.75,0.24,0.03,0.28,0.14,0.03,0.02,0.03,0.75,0.0,-0.02,0.8,0.17,0.0,
27,OverloadMethodsDeclarationOrder,816.0,22356.0,2313.0,7550.0,33035.0,0.7,0.25,0.09,0.26,0.03,0.1,0.09,0.08,0.7,0.0,-0.06,0.82,0.45,0.0,,157,11333,164,10874,22528,0.51,0.49,0.01,0.49,-0.0,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.11,0.0,,50.21732182806009,0.2137801298612061,False,0.7048811835996962,0.06999999999999995,2758,198,8598,123505,8310,120467,260880,0.51,0.49,0.06,0.51,0.03,0.07,0.06,0.06,0.5,0.0,0.0,1.0,0.35,0.0,,34,246.0,11783.0,730.0,3775.0,16534.0,0.73,0.24,0.06,0.25,0.04,0.06,0.06,0.05,0.73,0.0,-0.04,0.8,0.32,0.0,,102,11.0,6339.0,37.0,2049.0,8436.0,0.75,0.24,0.01,0.23,-0.06,0.01,0.01,0.01,0.75,-0.0,-0.0,0.8,0.05,0.0,,32,523.0,4534.0,1582.0,1426.0,8065.0,0.63,0.24,0.26,0.25,0.03,0.27,0.26,0.15,0.62,0.01,-0.17,0.8,0.83,0.0,
28,FinalClass,428.0,23461.0,1208.0,7938.0,33035.0,0.72,0.25,0.05,0.26,0.03,0.05,0.05,0.04,0.72,0.0,-0.03,0.82,0.28,0.0,,51,11448,49,10980,22528,0.51,0.49,0.0,0.51,0.04,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.04,0.0,,50.8239608801956,0.8204191819967193,False,0.04979650642993279,0.06999999999999995,1141,82,4154,128566,3249,124911,260880,0.51,0.49,0.03,0.56,0.13,0.03,0.02,0.03,0.5,0.01,0.01,1.0,0.19,0.0,,107,175.0,11925.0,588.0,3846.0,16534.0,0.73,0.24,0.05,0.23,-0.06,0.04,0.05,0.04,0.73,-0.0,-0.03,0.8,0.27,0.0,,42,38.0,6273.0,103.0,2022.0,8436.0,0.75,0.24,0.02,0.27,0.1,0.02,0.02,0.02,0.75,0.0,-0.01,0.8,0.12,0.0,,20,188.0,5572.0,544.0,1761.0,8065.0,0.71,0.24,0.09,0.26,0.06,0.1,0.09,0.08,0.71,0.0,-0.06,0.8,0.44,0.0,
29,ClassMemberImpliedModifier,589.0,23002.0,1667.0,7777.0,33035.0,0.71,0.25,0.07,0.26,0.03,0.07,0.07,0.06,0.71,0.0,-0.04,0.82,0.36,0.0,,56,11442,55,10975,22528,0.51,0.49,0.0,0.5,0.03,0.01,0.0,0.01,0.51,0.0,0.0,1.0,0.04,0.0,,50.21232269503546,0.2087809968365804,True,0.7404934756014749,0.040000000000000036,1877,77,4430,127395,4420,124635,260880,0.51,0.49,0.03,0.5,0.01,0.03,0.03,0.03,0.5,0.0,0.0,1.0,0.21,0.0,,36,219.0,11855.0,658.0,3802.0,16534.0,0.73,0.24,0.05,0.25,0.03,0.05,0.05,0.05,0.73,0.0,-0.04,0.8,0.3,0.0,,94,19.0,6314.0,62.0,2041.0,8436.0,0.75,0.24,0.01,0.23,-0.04,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.08,0.0,,30,322.0,5140.0,976.0,1627.0,8065.0,0.68,0.24,0.16,0.25,0.03,0.17,0.16,0.11,0.68,0.0,-0.11,0.8,0.64,0.0,
30,SimplifyBooleanReturn,34.0,24573.0,96.0,8332.0,33035.0,0.74,0.25,0.0,0.26,0.03,0.0,0.0,0.0,0.74,0.0,-0.0,0.82,0.04,0.0,,15,11492,5,11016,22528,0.51,0.49,0.0,0.75,0.53,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,50.3,0.2964583018011169,False,0.0538249944913418,0.14,119,19,297,131586,229,128768,260880,0.51,0.49,0.0,0.56,0.14,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,,131,6.0,12487.0,26.0,4015.0,16534.0,0.76,0.24,0.0,0.19,-0.23,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.02,0.0,,135,0.0,6375.0,1.0,2060.0,8436.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.0,0.0,,12,26.0,6045.0,71.0,1923.0,8065.0,0.75,0.24,0.01,0.27,0.11,0.01,0.01,0.01,0.75,0.0,-0.01,0.8,0.09,0.0,
31,ArrayTrailingComma,152.0,24239.0,430.0,8214.0,33035.0,0.74,0.25,0.02,0.26,0.03,0.02,0.02,0.02,0.74,0.0,-0.01,0.82,0.13,0.0,,47,11436,61,10984,22528,0.51,0.49,0.0,0.44,-0.11,0.0,0.01,0.0,0.51,-0.0,-0.0,1.0,0.04,0.0,,49.13745704467354,-0.8660846535253413,False,0.0782830459422313,0.15000000000000002,569,98,3287,129019,2796,125778,260880,0.51,0.49,0.02,0.54,0.09,0.03,0.02,0.02,0.51,0.0,0.0,1.0,0.16,0.0,,99,40.0,12381.0,132.0,3981.0,16534.0,0.75,0.24,0.01,0.23,-0.04,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.08,0.0,,117,3.0,6362.0,14.0,2057.0,8436.0,0.75,0.24,0.0,0.18,-0.28,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.02,0.0,,13,104.0,5827.0,289.0,1845.0,8065.0,0.74,0.24,0.05,0.26,0.1,0.05,0.05,0.05,0.73,0.0,-0.03,0.8,0.28,0.0,
32,PackageDeclaration,25.0,24598.0,71.0,8341.0,33035.0,0.75,0.25,0.0,0.26,0.03,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,,8,11494,3,11023,22528,0.51,0.49,0.0,0.73,0.49,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,48.79166666666666,-1.2118750315322158,False,0.003032920476441598,0.31000000000000005,25,11,47,131677,138,129018,260880,0.5,0.49,0.0,0.25,-0.49,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.01,0.0,,15,18.0,12465.0,48.0,4003.0,16534.0,0.75,0.24,0.0,0.27,0.12,0.0,0.0,0.0,0.75,0.0,-0.0,0.8,0.04,0.0,,14,3.0,6371.0,5.0,2057.0,8436.0,0.76,0.24,0.0,0.38,0.54,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,,140,4.0,6098.0,18.0,1945.0,8065.0,0.76,0.24,0.0,0.18,-0.25,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.03,0.0,
33,AbstractClassName,549.0,23099.0,1570.0,7817.0,33035.0,0.72,0.25,0.06,0.26,0.02,0.07,0.06,0.06,0.72,0.0,-0.04,0.82,0.34,0.0,,40,11459,38,10991,22528,0.51,0.49,0.0,0.51,0.05,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.03,0.0,,50.82869277961303,0.8251510814141483,True,0.04251504939169385,0.030000000000000027,1520,42,5117,126214,5601,123948,260880,0.5,0.49,0.04,0.48,-0.03,0.04,0.04,0.04,0.5,-0.0,-0.0,1.0,0.25,0.0,,24,253.0,11815.0,698.0,3768.0,16534.0,0.73,0.24,0.06,0.27,0.09,0.06,0.06,0.05,0.73,0.0,-0.04,0.8,0.32,0.0,,98,81.0,6109.0,267.0,1979.0,8436.0,0.73,0.24,0.04,0.23,-0.05,0.04,0.04,0.03,0.73,-0.0,-0.03,0.8,0.25,0.0,,103,190.0,5486.0,630.0,1759.0,8065.0,0.7,0.24,0.1,0.23,-0.04,0.1,0.1,0.07,0.71,-0.0,-0.07,0.8,0.47,0.0,
34,MissingSwitchDefault,464.0,23338.0,1331.0,7902.0,33035.0,0.72,0.25,0.05,0.26,0.02,0.06,0.05,0.05,0.72,0.0,-0.04,0.82,0.3,0.0,,84,11431,66,10947,22528,0.51,0.49,0.01,0.56,0.14,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.06,0.0,,50.765459610027854,0.7619179118289736,True,0.20858976099712515,0.06000000000000005,1537,97,5159,126546,5269,123906,260880,0.5,0.49,0.04,0.49,-0.0,0.04,0.04,0.04,0.5,-0.0,-0.0,1.0,0.24,0.0,,61,142.0,12078.0,435.0,3879.0,16534.0,0.74,0.24,0.03,0.25,0.01,0.04,0.03,0.03,0.74,0.0,-0.02,0.8,0.22,0.0,,128,2.0,6345.0,31.0,2058.0,8436.0,0.75,0.24,0.0,0.06,-0.75,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.04,0.0,,19,303.0,5234.0,882.0,1646.0,8065.0,0.69,0.24,0.15,0.26,0.06,0.16,0.14,0.11,0.68,0.01,-0.09,0.8,0.6,0.0,
35,HideUtilityClassConstructor,534.0,23136.0,1533.0,7832.0,33035.0,0.72,0.25,0.06,0.26,0.02,0.06,0.06,0.05,0.72,0.0,-0.04,0.82,0.34,0.0,,27,11479,18,11004,22528,0.51,0.49,0.0,0.6,0.23,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,,50.2844702467344,0.2809285485355204,True,0.007796491200354697,0.030000000000000027,1408,45,5587,126437,5378,123478,260880,0.51,0.49,0.04,0.51,0.03,0.04,0.04,0.04,0.5,0.0,0.0,1.0,0.25,0.0,,38,241.0,11789.0,724.0,3780.0,16534.0,0.73,0.24,0.06,0.25,0.03,0.06,0.06,0.05,0.73,0.0,-0.04,0.8,0.32,0.0,,51,151.0,5938.0,438.0,1909.0,8436.0,0.72,0.24,0.07,0.26,0.05,0.07,0.07,0.06,0.72,0.0,-0.05,0.8,0.37,0.0,,55,124.0,5727.0,389.0,1825.0,8065.0,0.73,0.24,0.06,0.24,0.0,0.06,0.06,0.05,0.73,0.0,-0.04,0.8,0.34,0.0,
36,WhitespaceAfter,1383.0,20632.0,4037.0,6983.0,33035.0,0.67,0.25,0.16,0.26,0.01,0.17,0.16,0.11,0.67,0.0,-0.11,0.82,0.64,0.0,,554,10913,584,10477,22528,0.51,0.49,0.05,0.49,-0.01,0.05,0.05,0.05,0.51,-0.0,-0.0,1.0,0.29,0.0,,50.58228782287823,0.5787461246793484,False,0.18340756094458247,0.13,3993,602,11052,120975,10840,118013,260880,0.51,0.49,0.08,0.5,0.02,0.09,0.08,0.08,0.5,0.0,0.0,1.0,0.42,0.0,,47,579.0,10765.0,1748.0,3442.0,16534.0,0.69,0.24,0.14,0.25,0.02,0.14,0.14,0.1,0.68,0.0,-0.09,0.8,0.59,0.0,,31,91.0,6146.0,230.0,1969.0,8436.0,0.74,0.24,0.04,0.28,0.16,0.04,0.04,0.04,0.74,0.0,-0.02,0.8,0.23,0.0,,87,656.0,4000.0,2116.0,1293.0,8065.0,0.58,0.24,0.34,0.24,-0.02,0.34,0.35,0.16,0.58,-0.01,-0.24,0.8,0.93,0.0,
37,ConstantName,1316.0,20818.0,3851.0,7050.0,33035.0,0.67,0.25,0.16,0.25,0.01,0.16,0.16,0.11,0.67,0.0,-0.1,0.82,0.63,0.0,,124,11371,126,10907,22528,0.51,0.49,0.01,0.5,0.01,0.01,0.01,0.01,0.51,0.0,-0.0,1.0,0.09,0.0,,49.947358234952574,-0.05618346324629897,False,0.31412025189219456,0.040000000000000036,3731,159,5466,126173,5642,123599,260880,0.5,0.49,0.04,0.49,-0.01,0.04,0.04,0.04,0.5,-0.0,-0.0,1.0,0.25,0.0,,44,623.0,10619.0,1894.0,3398.0,16534.0,0.68,0.24,0.15,0.25,0.02,0.15,0.15,0.11,0.68,0.0,-0.1,0.8,0.62,0.0,,35,89.0,6146.0,230.0,1971.0,8436.0,0.74,0.24,0.04,0.28,0.14,0.04,0.04,0.04,0.74,0.0,-0.02,0.8,0.23,0.0,,61,559.0,4344.0,1772.0,1390.0,8065.0,0.61,0.24,0.29,0.24,-0.01,0.29,0.29,0.15,0.61,-0.0,-0.2,0.8,0.87,0.0,
38,LineLength,7944.0,1410.0,23259.0,422.0,33035.0,0.28,0.25,0.94,0.25,0.01,0.95,0.94,0.25,0.28,0.01,-0.62,0.82,0.31,0.0,,1307,10108,1389,9724,22528,0.51,0.49,0.12,0.48,-0.01,0.12,0.12,0.11,0.51,-0.0,-0.01,1.0,0.53,0.0,,50.08268435727334,0.07914265907445639,True,0.8469621108431062,0.0,21603,39,13556,118530,13285,115509,260880,0.51,0.49,0.1,0.51,0.02,0.11,0.1,0.1,0.5,0.0,0.0,1.0,0.48,0.0,,73,3953.0,249.0,12264.0,68.0,16534.0,0.25,0.24,0.98,0.24,0.0,0.98,0.98,0.24,0.25,0.0,-0.66,0.8,0.14,0.0,,75,1726.0,1136.0,5240.0,334.0,8436.0,0.34,0.24,0.83,0.25,0.01,0.84,0.82,0.24,0.33,0.02,-0.55,0.8,0.67,0.0,,54,1943.0,39.0,6077.0,6.0,8065.0,0.25,0.24,0.99,0.24,0.0,1.0,0.99,0.24,0.24,0.0,-0.68,0.8,0.05,0.0,
39,MissingJavadocMethod,5964.0,7255.0,17414.0,2402.0,33035.0,0.4,0.25,0.71,0.26,0.01,0.71,0.71,0.23,0.4,0.01,-0.46,0.82,0.87,0.0,,752,10668,829,10279,22528,0.51,0.49,0.07,0.48,-0.03,0.07,0.07,0.06,0.51,-0.0,-0.01,1.0,0.37,0.0,,50.093977243562314,0.0904355453634409,False,0.7103871201738242,0.020000000000000014,16242,284,22452,109773,22042,106613,260880,0.51,0.49,0.17,0.5,0.02,0.17,0.17,0.15,0.5,0.01,0.0,1.0,0.66,0.0,,50,2892.0,3659.0,8854.0,1129.0,16534.0,0.4,0.24,0.71,0.25,0.01,0.72,0.71,0.22,0.39,0.01,-0.48,0.8,0.87,0.0,,80,1354.0,2193.0,4183.0,706.0,8436.0,0.42,0.24,0.66,0.24,0.0,0.66,0.66,0.22,0.42,0.0,-0.44,0.8,0.93,0.0,,58,1479.0,1500.0,4616.0,470.0,8065.0,0.37,0.24,0.76,0.24,0.0,0.76,0.75,0.23,0.37,0.0,-0.51,0.8,0.8,0.0,
40,AvoidEscapedUnicodeCharacters,55.0,24509.0,160.0,8311.0,33035.0,0.74,0.25,0.01,0.26,0.01,0.01,0.01,0.01,0.74,0.0,-0.0,0.82,0.06,0.0,,11,11487,10,11020,22528,0.51,0.49,0.0,0.52,0.07,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,49.39069767441861,-0.6128440237802764,False,0.03792723577649944,0.05000000000000005,211,10,1527,130216,1599,127538,260880,0.5,0.49,0.01,0.49,-0.01,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.09,0.0,,130,12.0,12464.0,49.0,4009.0,16534.0,0.75,0.24,0.0,0.2,-0.19,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.04,0.0,,140,0.0,6372.0,4.0,2060.0,8436.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.01,0.0,,16,40.0,6006.0,110.0,1909.0,8065.0,0.75,0.24,0.02,0.27,0.1,0.02,0.02,0.02,0.75,0.0,-0.01,0.8,0.13,0.0,
41,JavadocMethod,2224.0,18157.0,6512.0,6142.0,33035.0,0.62,0.25,0.26,0.25,0.01,0.27,0.26,0.15,0.62,0.0,-0.17,0.82,0.83,0.0,,416,11010,487,10615,22528,0.51,0.49,0.04,0.46,-0.06,0.04,0.04,0.04,0.51,-0.0,-0.01,1.0,0.24,0.0,,50.199290293040285,0.1957485948414117,False,0.7748704892363613,0.040000000000000036,7318,284,13799,118841,12974,115266,260880,0.51,0.49,0.1,0.52,0.04,0.11,0.1,0.1,0.5,0.01,0.01,1.0,0.48,0.0,,52,924.0,9668.0,2845.0,3097.0,16534.0,0.64,0.24,0.23,0.25,0.01,0.23,0.23,0.13,0.64,0.0,-0.15,0.8,0.77,0.0,,46,126.0,6020.0,356.0,1934.0,8436.0,0.73,0.24,0.06,0.26,0.07,0.06,0.06,0.05,0.73,0.0,-0.04,0.8,0.32,0.0,,71,1078.0,2709.0,3407.0,871.0,8065.0,0.47,0.24,0.56,0.24,-0.01,0.55,0.56,0.2,0.47,-0.0,-0.38,0.8,0.99,0.0,
42,DesignForExtension,5490.0,8645.0,16024.0,2876.0,33035.0,0.43,0.25,0.65,0.26,0.01,0.66,0.65,0.23,0.43,0.01,-0.43,0.82,0.93,0.0,,642,10769,728,10389,22528,0.51,0.49,0.06,0.47,-0.04,0.06,0.06,0.05,0.51,-0.01,-0.01,1.0,0.33,0.0,,50.19220042762853,0.1886587294296405,True,0.22003924989396173,0.010000000000000007,15032,205,15026,117125,14690,114039,260880,0.51,0.49,0.11,0.51,0.02,0.12,0.11,0.1,0.5,0.0,0.0,1.0,0.51,0.0,,49,2811.0,3866.0,8647.0,1210.0,16534.0,0.4,0.24,0.69,0.25,0.01,0.7,0.69,0.22,0.4,0.01,-0.47,0.8,0.89,0.0,,88,1109.0,2908.0,3468.0,951.0,8436.0,0.48,0.24,0.54,0.24,-0.01,0.54,0.54,0.2,0.48,-0.0,-0.37,0.8,0.99,0.0,,39,1337.0,1974.0,4142.0,612.0,8065.0,0.41,0.24,0.68,0.24,0.01,0.69,0.68,0.22,0.41,0.01,-0.46,0.8,0.91,0.0,
43,ParameterNumber,640.0,22805.0,1864.0,7726.0,33035.0,0.71,0.25,0.08,0.26,0.01,0.08,0.08,0.06,0.71,0.0,-0.05,0.82,0.39,0.0,,97,11416,81,10934,22528,0.51,0.49,0.01,0.54,0.11,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.07,0.0,,50.509185303514386,0.5056436053154982,False,0.0874238877554528,0.05000000000000005,2199,123,4247,128362,3453,124818,260880,0.51,0.49,0.03,0.55,0.11,0.03,0.03,0.03,0.5,0.01,0.01,1.0,0.19,0.0,,66,246.0,11744.0,769.0,3775.0,16534.0,0.73,0.24,0.06,0.24,-0.0,0.06,0.06,0.05,0.73,-0.0,-0.04,0.8,0.33,0.0,,25,30.0,6308.0,68.0,2030.0,8436.0,0.75,0.24,0.01,0.31,0.25,0.01,0.01,0.01,0.75,0.0,-0.01,0.8,0.09,0.0,,81,329.0,5054.0,1062.0,1620.0,8065.0,0.67,0.24,0.17,0.24,-0.02,0.17,0.17,0.11,0.67,-0.0,-0.12,0.8,0.66,0.0,
44,AvoidStarImport,1250.0,21015.0,3654.0,7116.0,33035.0,0.67,0.25,0.15,0.25,0.01,0.15,0.15,0.1,0.67,0.0,-0.1,0.82,0.61,0.0,,201,11279,218,10830,22528,0.51,0.49,0.02,0.48,-0.02,0.02,0.02,0.02,0.51,-0.0,-0.0,1.0,0.13,0.0,,50.31668026101142,0.31313856281254004,True,0.10657445009843868,0.07999999999999996,3345,297,5593,126948,4867,123472,260880,0.51,0.49,0.04,0.53,0.08,0.04,0.04,0.04,0.5,0.01,0.01,1.0,0.24,0.0,,51,616.0,10610.0,1903.0,3405.0,16534.0,0.68,0.24,0.15,0.24,0.01,0.15,0.15,0.1,0.68,0.0,-0.1,0.8,0.62,0.0,,36,104.0,6102.0,274.0,1956.0,8436.0,0.74,0.24,0.04,0.28,0.13,0.05,0.04,0.04,0.73,0.0,-0.03,0.8,0.26,0.0,,37,489.0,4598.0,1518.0,1460.0,8065.0,0.63,0.24,0.25,0.24,0.01,0.25,0.25,0.14,0.63,0.0,-0.17,0.8,0.81,0.0,
45,SummaryJavadoc,3202.0,15413.0,9256.0,5164.0,33035.0,0.56,0.25,0.38,0.26,0.01,0.38,0.38,0.18,0.56,0.01,-0.25,0.82,0.96,0.0,,357,11154,343,10674,22528,0.51,0.49,0.03,0.51,0.04,0.03,0.03,0.03,0.51,0.0,0.0,1.0,0.2,0.0,,50.305345962433776,0.3018042642348959,True,0.6216150369114319,0.030000000000000027,9387,247,9256,123035,8780,119809,260880,0.51,0.49,0.07,0.51,0.04,0.07,0.07,0.07,0.5,0.01,0.0,1.0,0.36,0.0,,69,1412.0,8119.0,4394.0,2609.0,16534.0,0.58,0.24,0.35,0.24,0.0,0.35,0.35,0.17,0.58,0.0,-0.24,0.8,0.94,0.0,,47,530.0,4872.0,1504.0,1530.0,8436.0,0.64,0.24,0.24,0.26,0.07,0.26,0.24,0.15,0.63,0.01,-0.15,0.8,0.8,0.0,,46,1130.0,2628.0,3488.0,819.0,8065.0,0.47,0.24,0.57,0.24,0.01,0.58,0.57,0.21,0.46,0.01,-0.39,0.8,0.98,0.0,
