,feature,line_pearson
73,EmptyBlock,0.23273801758372775
66,WhitespaceAround,0.2301123734055969
57,RedundantModifier,0.22883307687772197
34,VariableDeclarationUsageDistance,0.22624607035410957
179,any-ILLEGAL CHECKS,0.22572624191524987
45,JavadocVariable,0.2236815821752004
51,HiddenField,0.22188567358152675
118,OneStatementPerLine,0.21888061003323714
132,IllegalToken,0.21413385258051593
60,AnonInnerLength,0.21266814080481874
65,InnerAssignment,0.21129710365090676
155,corrective_commits,0.21117801718889165
175,any-NAMING CONVENTIONS CHECKS,0.20569044144781243
5,JavadocParagraph,0.20569011903692017
35,TrailingComment,0.19062913371565451
63,ParameterAssignment,0.1905908473008694
72,EqualsAvoidNull,0.18490686460009856
166,any-BLOCK CHECKS,0.18337238962068111
95,AvoidStarImport,0.16414111604441842
154,commits,0.16038528912287559
102,JavadocTagContinuationIndentation,0.1580223277589313
88,AbbreviationAsWordInName,0.15744290077815176
174,any-MODIFIER CHECKS,0.15690534462918806
59,MultipleVariableDeclarations,0.1553555414229599
74,SingleSpaceSeparator,0.1492673182315385
12,ImportOrder,0.14805553064644966
54,ParenPad,0.1449023007249406
15,AvoidStaticImport,0.14455562176436001
76,LocalFinalVariableName,0.14427012915223553
85,TodoComment,0.1437053881050966
48,VisibilityModifier,0.1435354986458364
36,IllegalType,0.14113521035366344
116,NestedTryDepth,0.13039524434678273
58,ParameterNumber,0.1268584332637034
7,MissingCtor,0.12509573260348117
78,InvalidJavadocPosition,0.1150842460564587
56,FinalClass,0.11467297334999503
178,any-WHITESPACE CHECKS,0.11399798915060924
121,EmptyForIteratorPad,0.1137665215018373
53,NonEmptyAtclauseDescription,0.11353771605621284
124,SimplifyBooleanExpression,0.10932740984845471
108,ModifiedControlVariable,0.10552922360329074
87,ParameterName,0.09685845233103517
168,any-CODING CHECKS,0.09464774102119977
157,file_ccp,0.09342653748209383
156,corrective_rate,0.09342653748209291
104,AtclauseOrder,0.09281886246525295
117,MethodParamPad,0.09202415326157778
84,ArrayTrailingComma,0.09156691975836387
167,any-CLASS DESIGN CHECKS,0.08518007261842173
90,EmptyCatchBlock,0.08294752456579761
82,ModifierOrder,0.08276503905723638
100,NestedForDepth,0.08164577381442263
177,any-SIZE VIOLATION CHECKS,0.0780209912926655
99,SimplifyBooleanReturn,0.07588699598169033
165,any-ANNOTATION CHECKS,0.07341553944320918
77,UnusedImports,0.07310005590934777
142,RequireThis,0.07287107507118339
97,TypeName,0.06789530058238231
173,any-MISC CHECKS,0.06716126671491067
55,NoFinalizer,0.06532159186696952
113,ArrayTypeStyle,0.06457521475195513
6,AbstractClassName,0.06249205788714349
129,SingleLineJavadoc,0.062434723844743016
131,FallThrough,0.06088534312053162
163,worse_10_hs,0.05530822369102185
148,SuperFinalize,0.0522862021631701
137,MissingOverride,0.048738681187295504
109,AvoidEscapedUnicodeCharacters,0.04802837734732693
126,JavadocType,0.04562677197790042
89,NoWhitespaceBefore,0.04445790888829071
143,MethodTypeParameterName,0.04292636733067553
115,UpperEll,0.04108744757442409
8,FileTabCharacter,0.03995795448694142
91,GenericWhitespace,0.033542958033511754
21,IllegalThrows,0.03320043866060322
140,ThrowsCount,0.030821131943232848
133,AnnotationUseStyle,0.029304888862212147
171,any-JAVADOC COMMENTS CHECKS,0.028962020875071152
111,EqualsHashCode,0.027474949478319348
180,any-UNNECESSARY CHECKS,0.027213020636550046
98,StaticVariableName,0.02674669556162589
141,IllegalImport,0.026021133675639956
94,StringLiteralEquality,0.02430110610882706
120,SuperClone,0.023441066633816635
158,authors,0.023389976499978222
149,UnnecessarySemicolonInTryWithResources,0.02319233033908125
134,EmptyForInitializerPad,0.022729065748737603
127,OuterTypeNumber,0.021397174997552507
125,UnnecessarySemicolonInEnumeration,0.02082047924559595
138,ClassTypeParameterName,0.019307083689080025
114,InterfaceIsType,0.019066023801659265
139,NoLineWrap,0.018973092336856928
106,AnnotationLocation,0.016967265405755716
105,MutableException,0.016331966157388408
112,RedundantImport,0.013684617875456509
128,OneTopLevelClass,0.013498377434161804
130,TypecastParenPad,0.006327987054893468
147,LambdaParameterName,0.005956542389582982
92,CustomImportOrder,0.005512387796720363
107,CovariantEquals,0.0046271080858975
144,InterfaceTypeParameterName,0.004317133021764507
122,PackageName,0.004142947614347523
62,HideUtilityClassConstructor,0.003359874083649923
170,any-IMPORT CHECKS,0.003301796175447251
146,OuterTypeFilename,3.8430100255318576e-05
136,PackageDeclaration,-0.0006860480003720944
1,ImportControl,-0.0018322773643219175
0,Regexp,-0.0038379759230721755
176,any-REGEXP CHECKS,-0.0038379759230721773
145,MissingJavadocPackage,-0.004862845737040855
39,UncommentedMain,-0.005557249720411924
2,NewlineAtEndOfFile,-0.015142605888083588
42,JavadocPackage,-0.04043751826618696
159,avg_coupling_size,-0.0712317916803549
160,avg_coupling_java_size,-0.09028674193840285
161,avg_coupling_size_capped,-0.19844310940791082
162,avg_coupling_java_size_capped,-0.20218150836148346
150,SuppressWarnings,
151,RegexpOnFilename,
152,year,
153,is_test,
164,line_count_100,
169,any-HEADER CHECKS,
