Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_avg_coupling_size,cond_mean_diff_avg_coupling_size,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
43,FinalLocalVariable,4975.0,7290.0,17629.0,3141.0,33035.0,0.37,0.25,0.68,0.22,-0.1,0.61,0.71,0.19,0.41,-0.09,-0.51,0.8,0.9,0.01,,853,11686,1185,8804,22528,0.56,0.43,0.09,0.42,-0.02,0.09,0.09,0.08,0.56,-0.0,-0.03,0.99,0.44,0.0,,182.85112538583004,-12.660233511815337,False,0.7071209984738939,0.010000000000000007,16269,184,7196,139531,9742,104411,260880,0.56,0.43,0.06,0.42,-0.01,0.06,0.07,0.06,0.56,-0.0,-0.02,0.98,0.35,0.0,,57,2750.0,3137.0,9776.0,871.0,16534.0,0.36,0.22,0.76,0.22,0.0,0.76,0.76,0.21,0.36,0.0,-0.54,0.76,0.8,0.0,,53,1122.0,3422.0,1717.0,2175.0,8436.0,0.54,0.39,0.34,0.4,0.01,0.34,0.33,0.22,0.54,0.01,-0.12,0.97,0.92,0.0,,55,1103.0,731.0,6136.0,95.0,8065.0,0.23,0.15,0.9,0.15,0.03,0.92,0.89,0.15,0.22,0.03,-0.73,0.61,0.48,0.0,
44,ExplicitInitialization,986.0,21466.0,3453.0,7130.0,33035.0,0.68,0.25,0.13,0.22,-0.1,0.12,0.14,0.09,0.69,-0.01,-0.1,0.8,0.57,0.0,,163,12643,228,9494,22528,0.57,0.43,0.02,0.42,-0.03,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.13,0.0,,177.49623360117292,-18.015125296472487,False,0.31420758504662605,0.05000000000000005,3744,191,6750,140689,8584,104857,260880,0.57,0.43,0.06,0.44,0.03,0.06,0.06,0.06,0.56,0.0,-0.01,0.98,0.32,0.0,,20,476.0,11671.0,1242.0,3145.0,16534.0,0.73,0.22,0.1,0.28,0.27,0.13,0.1,0.1,0.72,0.02,-0.06,0.76,0.48,0.0,,39,54.0,5070.0,69.0,3243.0,8436.0,0.61,0.39,0.01,0.44,0.12,0.02,0.01,0.02,0.61,0.0,-0.0,0.97,0.11,0.0,,27,456.0,4725.0,2142.0,742.0,8065.0,0.64,0.15,0.32,0.18,0.18,0.38,0.31,0.14,0.63,0.03,-0.25,0.61,0.91,0.0,
45,WhitespaceAfter,1185.0,20684.0,4235.0,6931.0,33035.0,0.66,0.25,0.16,0.22,-0.11,0.15,0.17,0.1,0.67,-0.01,-0.12,0.8,0.64,0.0,,516,12249,622,9141,22528,0.57,0.43,0.05,0.45,0.06,0.05,0.05,0.05,0.56,0.0,-0.01,0.99,0.29,0.0,,216.2742987077608,20.762939810115427,False,0.18340756094458247,0.13,3931,568,9929,137310,11963,101678,260880,0.56,0.43,0.08,0.45,0.06,0.09,0.08,0.08,0.56,0.01,-0.01,0.98,0.42,0.0,,32,569.0,11155.0,1758.0,3052.0,16534.0,0.71,0.22,0.14,0.24,0.12,0.16,0.14,0.11,0.7,0.01,-0.09,0.76,0.59,0.0,,22,164.0,4982.0,157.0,3133.0,8436.0,0.61,0.39,0.04,0.51,0.31,0.05,0.03,0.05,0.6,0.02,0.0,0.97,0.23,0.0,,39,452.0,4547.0,2320.0,746.0,8065.0,0.62,0.15,0.34,0.16,0.1,0.38,0.34,0.13,0.61,0.02,-0.27,0.61,0.93,0.0,
46,RightCurly,857.0,21817.0,3102.0,7259.0,33035.0,0.69,0.25,0.12,0.22,-0.12,0.11,0.12,0.08,0.69,-0.01,-0.09,0.8,0.53,0.0,,266,12486,385,9391,22528,0.57,0.43,0.03,0.41,-0.05,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.19,0.0,,253.28754352845348,57.77618463080813,False,0.21246108340556072,0.08999999999999997,2965,293,3460,144128,5145,108147,260880,0.57,0.43,0.03,0.4,-0.06,0.03,0.03,0.03,0.57,-0.0,-0.01,0.98,0.21,0.0,,91,345.0,11459.0,1454.0,3276.0,16534.0,0.71,0.22,0.11,0.19,-0.12,0.1,0.11,0.07,0.72,-0.01,-0.09,0.76,0.5,0.0,,97,29.0,5058.0,81.0,3268.0,8436.0,0.6,0.39,0.01,0.26,-0.33,0.01,0.02,0.01,0.61,-0.01,-0.01,0.97,0.1,0.0,,4,483.0,5300.0,1567.0,715.0,8065.0,0.72,0.15,0.25,0.24,0.59,0.4,0.23,0.17,0.67,0.07,-0.16,0.61,0.82,0.01,
47,MutableException,8.0,24890.0,29.0,8108.0,33035.0,0.75,0.25,0.0,0.22,-0.12,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.01,0.0,,0,12869,2,9657,22528,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,,173.33175913180526,-22.17959976584009,False,0.003938419423749014,0.06999999999999995,25,2,34,149212,61,111573,260880,0.57,0.43,0.0,0.36,-0.16,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,0.0,,134,1.0,12903.0,10.0,3620.0,16534.0,0.78,0.22,0.0,0.09,-0.58,0.0,0.0,0.0,0.78,-0.0,-0.0,0.76,0.01,0.0,,38,7.0,5130.0,9.0,3290.0,8436.0,0.61,0.39,0.0,0.44,0.12,0.0,0.0,0.0,0.61,0.0,-0.0,0.97,0.02,0.0,,145,0.0,6857.0,10.0,1198.0,8065.0,0.85,0.15,0.0,0.0,-1.0,0.0,0.0,0.0,0.85,-0.0,-0.0,0.61,0.01,0.0,
48,ImportOrder,5544.0,4946.0,19973.0,2572.0,33035.0,0.32,0.25,0.77,0.22,-0.12,0.68,0.8,0.2,0.36,-0.12,-0.58,0.8,0.77,0.01,,834,11719,1152,8823,22528,0.56,0.43,0.09,0.42,-0.02,0.09,0.09,0.08,0.56,-0.0,-0.02,0.99,0.43,0.0,,182.5176611862571,-12.99369771138828,False,0.11626449616770886,0.030000000000000027,17827,471,6357,115285,33988,105250,260880,0.47,0.43,0.15,0.16,-0.63,0.06,0.23,0.04,0.55,-0.15,-0.19,0.98,0.62,0.04,,80,2764.0,2092.0,10821.0,857.0,16534.0,0.29,0.22,0.82,0.2,-0.07,0.76,0.84,0.19,0.32,-0.08,-0.62,0.76,0.68,0.0,,68,1746.0,2136.0,3003.0,1551.0,8436.0,0.46,0.39,0.56,0.37,-0.06,0.53,0.58,0.28,0.49,-0.05,-0.24,0.97,0.99,0.0,,85,1034.0,718.0,6149.0,164.0,8065.0,0.22,0.15,0.89,0.14,-0.03,0.86,0.9,0.14,0.23,-0.04,-0.74,0.61,0.5,0.0,
49,InterfaceIsType,26.0,24824.0,95.0,8090.0,33035.0,0.75,0.25,0.0,0.21,-0.13,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.03,0.0,,1,12869,2,9656,22528,0.57,0.43,0.0,0.33,-0.22,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,,255.532146855725,60.02078795807957,False,0.0136713501248395,0.030000000000000027,106,3,125,149118,155,111482,260880,0.57,0.43,0.0,0.45,0.04,0.0,0.0,0.0,0.57,0.0,-0.0,0.98,0.01,0.0,,101,9.0,12872.0,41.0,3612.0,16534.0,0.78,0.22,0.0,0.18,-0.18,0.0,0.0,0.0,0.78,-0.0,-0.0,0.76,0.03,0.0,,63,15.0,5114.0,25.0,3282.0,8436.0,0.61,0.39,0.0,0.38,-0.04,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.04,0.0,,139,2.0,6838.0,29.0,1196.0,8065.0,0.85,0.15,0.0,0.06,-0.57,0.0,0.0,0.0,0.85,-0.0,-0.0,0.61,0.04,0.0,
50,DeclarationOrder,1885.0,17954.0,6965.0,6231.0,33035.0,0.6,0.25,0.27,0.21,-0.13,0.23,0.28,0.12,0.62,-0.03,-0.2,0.8,0.84,0.0,,462,12328,543,9195,22528,0.57,0.43,0.04,0.46,0.07,0.05,0.04,0.05,0.56,0.0,-0.01,0.99,0.26,0.0,,167.4843493924372,-28.02700950520818,False,0.6361143678486,0.06000000000000005,6756,414,12614,112108,37165,98993,260880,0.48,0.43,0.19,0.25,-0.41,0.11,0.25,0.08,0.54,-0.12,-0.16,0.98,0.7,0.02,,41,905.0,10003.0,2910.0,2716.0,16534.0,0.66,0.22,0.23,0.24,0.08,0.25,0.23,0.14,0.65,0.01,-0.16,0.76,0.78,0.0,,17,337.0,4895.0,244.0,2960.0,8436.0,0.62,0.39,0.07,0.58,0.48,0.1,0.05,0.1,0.59,0.04,0.02,0.97,0.36,0.01,,83,643.0,3056.0,3811.0,555.0,8065.0,0.46,0.15,0.55,0.14,-0.03,0.54,0.55,0.13,0.46,-0.01,-0.46,0.61,0.99,0.0,
51,IllegalThrows,24.0,24829.0,90.0,8092.0,33035.0,0.75,0.25,0.0,0.21,-0.14,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.03,0.0,,2,12867,4,9655,22528,0.57,0.43,0.0,0.33,-0.22,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,,132.93169544824158,-62.5796634494038,False,0.01941077646745835,0.09999999999999998,62,7,46,149221,52,111561,260880,0.57,0.43,0.0,0.47,0.1,0.0,0.0,0.0,0.57,0.0,-0.0,0.98,0.0,0.0,,102,8.0,12876.0,37.0,3613.0,16534.0,0.78,0.22,0.0,0.18,-0.19,0.0,0.0,0.0,0.78,-0.0,-0.0,0.76,0.03,0.0,,7,9.0,5136.0,3.0,3288.0,8436.0,0.61,0.39,0.0,0.75,0.92,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.02,0.0,,108,7.0,6817.0,50.0,1191.0,8065.0,0.85,0.15,0.01,0.12,-0.17,0.01,0.01,0.01,0.85,-0.0,-0.01,0.61,0.06,0.0,
52,VisibilityModifier,1589.0,18997.0,5922.0,6527.0,33035.0,0.62,0.25,0.23,0.21,-0.14,0.2,0.24,0.11,0.64,-0.02,-0.17,0.8,0.77,0.0,,362,12466,405,9295,22528,0.57,0.43,0.03,0.47,0.1,0.04,0.03,0.04,0.57,0.01,-0.0,0.99,0.21,0.0,,183.148586398665,-12.362772498980375,False,0.1069241041161756,0.05000000000000005,5878,318,11728,134179,15094,99879,260880,0.56,0.43,0.1,0.44,0.02,0.11,0.1,0.09,0.56,0.0,-0.02,0.98,0.48,0.0,,36,782.0,10423.0,2490.0,2839.0,16534.0,0.68,0.22,0.2,0.24,0.09,0.22,0.19,0.13,0.67,0.01,-0.13,0.76,0.72,0.0,,59,241.0,4744.0,395.0,3056.0,8436.0,0.59,0.39,0.08,0.38,-0.03,0.07,0.08,0.07,0.59,-0.0,-0.03,0.97,0.39,0.0,,46,566.0,3830.0,3037.0,632.0,8065.0,0.55,0.15,0.45,0.16,0.06,0.47,0.44,0.13,0.54,0.01,-0.36,0.61,0.99,0.0,
53,EmptyBlock,173.0,24261.0,658.0,7943.0,33035.0,0.74,0.25,0.03,0.21,-0.15,0.02,0.03,0.02,0.74,-0.0,-0.02,0.8,0.17,0.0,,63,12802,69,9594,22528,0.57,0.43,0.01,0.48,0.11,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.05,0.0,,147.58594398879288,-47.9254149088525,False,0.5361055294269682,0.13,687,104,1829,147342,1931,109778,260880,0.57,0.43,0.01,0.49,0.14,0.02,0.01,0.02,0.57,0.0,-0.0,0.98,0.11,0.0,,15,59.0,12772.0,141.0,3562.0,16534.0,0.78,0.22,0.01,0.3,0.35,0.02,0.01,0.02,0.77,0.0,-0.01,0.76,0.09,0.0,,14,6.0,5135.0,4.0,3291.0,8436.0,0.61,0.39,0.0,0.6,0.54,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.01,0.0,,29,108.0,6354.0,513.0,1090.0,8065.0,0.8,0.15,0.08,0.17,0.17,0.09,0.07,0.06,0.8,0.0,-0.06,0.61,0.39,0.0,
54,ParameterName,159.0,24319.0,600.0,7957.0,33035.0,0.74,0.25,0.02,0.21,-0.15,0.02,0.02,0.02,0.74,-0.0,-0.02,0.8,0.16,0.0,,28,12834,37,9629,22528,0.57,0.43,0.0,0.43,0.0,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.03,0.0,,132.6714632172078,-62.83989568043759,False,0.06754506019889564,0.06999999999999995,587,44,2717,145793,3480,108890,260880,0.57,0.43,0.02,0.44,0.02,0.02,0.02,0.02,0.57,0.0,-0.01,0.98,0.16,0.0,,40,55.0,12735.0,178.0,3566.0,16534.0,0.77,0.22,0.01,0.24,0.08,0.02,0.01,0.01,0.77,0.0,-0.01,0.76,0.11,0.0,,93,12.0,5112.0,27.0,3285.0,8436.0,0.61,0.39,0.0,0.31,-0.21,0.0,0.01,0.0,0.61,-0.0,-0.0,0.97,0.04,0.0,,21,92.0,6472.0,395.0,1106.0,8065.0,0.81,0.15,0.06,0.19,0.27,0.08,0.06,0.06,0.81,0.01,-0.04,0.61,0.33,0.0,
55,SingleSpaceSeparator,812.0,21726.0,3193.0,7304.0,33035.0,0.68,0.25,0.12,0.2,-0.17,0.1,0.13,0.07,0.69,-0.02,-0.1,0.8,0.53,0.0,,346,12392,479,9311,22528,0.57,0.43,0.04,0.42,-0.02,0.04,0.04,0.03,0.57,-0.0,-0.01,0.99,0.23,0.0,,227.20703799102887,31.69567909338349,False,0.1429747307491628,0.14,3257,536,5830,142088,7185,105777,260880,0.57,0.43,0.05,0.45,0.05,0.05,0.05,0.05,0.56,0.0,-0.01,0.98,0.29,0.0,,27,413.0,11746.0,1167.0,3208.0,16534.0,0.74,0.22,0.1,0.26,0.19,0.11,0.09,0.09,0.73,0.01,-0.06,0.76,0.45,0.0,,29,142.0,4990.0,149.0,3155.0,8436.0,0.61,0.39,0.03,0.49,0.25,0.04,0.03,0.04,0.6,0.01,-0.0,0.97,0.22,0.0,,111,257.0,4990.0,1877.0,941.0,8065.0,0.65,0.15,0.26,0.12,-0.19,0.21,0.27,0.08,0.67,-0.02,-0.24,0.61,0.83,0.0,
56,EmptyForIteratorPad,68.0,24652.0,267.0,8048.0,33035.0,0.75,0.25,0.01,0.2,-0.17,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.08,0.0,,14,12854,17,9643,22528,0.57,0.43,0.0,0.45,0.05,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.02,0.0,,125.2434441529717,-70.26791474467367,False,0.06592639147064032,0.08999999999999997,282,29,956,148115,1158,110651,260880,0.57,0.43,0.01,0.45,0.06,0.01,0.01,0.01,0.57,0.0,-0.0,0.98,0.07,0.0,,59,19.0,12845.0,68.0,3602.0,16534.0,0.78,0.22,0.01,0.22,-0.0,0.01,0.01,0.01,0.78,-0.0,-0.0,0.76,0.05,0.0,,142,0.0,5135.0,4.0,3297.0,8436.0,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.01,0.0,,11,49.0,6672.0,195.0,1149.0,8065.0,0.83,0.15,0.03,0.2,0.35,0.04,0.03,0.04,0.83,0.0,-0.02,0.61,0.2,0.0,
57,RedundantModifier,585.0,22638.0,2281.0,7531.0,33035.0,0.7,0.25,0.09,0.2,-0.17,0.07,0.09,0.06,0.71,-0.01,-0.07,0.8,0.43,0.0,,150,12679,192,9507,22528,0.57,0.43,0.02,0.44,0.02,0.02,0.01,0.02,0.57,0.0,-0.0,0.99,0.11,0.0,,196.61566356638463,1.1043046687392462,False,0.4562030464727767,0.08999999999999997,2181,228,5685,139867,9406,105922,260880,0.56,0.43,0.06,0.38,-0.12,0.05,0.06,0.05,0.56,-0.01,-0.02,0.98,0.32,0.0,,50,225.0,12116.0,797.0,3396.0,16534.0,0.75,0.22,0.06,0.22,0.01,0.06,0.06,0.05,0.75,0.0,-0.04,0.76,0.33,0.0,,30,151.0,4979.0,160.0,3146.0,8436.0,0.61,0.39,0.04,0.49,0.24,0.05,0.03,0.04,0.6,0.01,-0.0,0.97,0.23,0.0,,95,209.0,5543.0,1324.0,989.0,8065.0,0.71,0.15,0.19,0.14,-0.08,0.17,0.19,0.08,0.72,-0.01,-0.16,0.61,0.7,0.0,
58,HiddenField,3054.0,12817.0,12102.0,5062.0,33035.0,0.48,0.25,0.46,0.2,-0.18,0.38,0.49,0.15,0.52,-0.08,-0.36,0.8,1.0,0.01,,408,12165,706,9249,22528,0.56,0.43,0.05,0.37,-0.15,0.04,0.05,0.04,0.56,-0.01,-0.02,0.99,0.28,0.0,,166.40267600600745,-29.10868289163793,False,0.15917858467411022,0.020000000000000014,10607,266,16212,129447,19826,95395,260880,0.56,0.43,0.14,0.45,0.05,0.15,0.13,0.12,0.55,0.01,-0.02,0.98,0.58,0.0,,88,1511.0,6648.0,6265.0,2110.0,16534.0,0.49,0.22,0.47,0.19,-0.11,0.42,0.49,0.15,0.52,-0.04,-0.37,0.76,1.0,0.0,,76,794.0,3638.0,1501.0,2503.0,8436.0,0.53,0.39,0.27,0.35,-0.11,0.24,0.29,0.17,0.55,-0.04,-0.14,0.97,0.84,0.0,,76,749.0,2531.0,4336.0,449.0,8065.0,0.41,0.15,0.63,0.15,-0.01,0.63,0.63,0.14,0.41,-0.0,-0.52,0.61,0.95,0.0,
59,EmptyCatchBlock,219.0,24054.0,865.0,7897.0,33035.0,0.73,0.25,0.03,0.2,-0.18,0.03,0.03,0.02,0.74,-0.0,-0.03,0.8,0.21,0.0,,53,12744,127,9604,22528,0.57,0.43,0.01,0.29,-0.31,0.01,0.01,0.01,0.57,-0.0,-0.01,0.99,0.07,0.0,,155.72473026678773,-39.78662863085765,False,0.1149158892609308,0.11,913,108,3475,145481,3792,108132,260880,0.57,0.43,0.03,0.48,0.12,0.03,0.03,0.03,0.57,0.0,-0.0,0.98,0.18,0.0,,45,65.0,12696.0,217.0,3556.0,16534.0,0.77,0.22,0.02,0.23,0.05,0.02,0.02,0.02,0.77,0.0,-0.01,0.76,0.12,0.0,,86,4.0,5131.0,8.0,3293.0,8436.0,0.61,0.39,0.0,0.33,-0.15,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.02,0.0,,17,150.0,6227.0,640.0,1048.0,8065.0,0.79,0.15,0.1,0.19,0.28,0.13,0.09,0.08,0.78,0.01,-0.07,0.61,0.46,0.0,
60,UnusedImports,369.0,23438.0,1481.0,7747.0,33035.0,0.72,0.25,0.06,0.2,-0.19,0.05,0.06,0.04,0.73,-0.01,-0.04,0.8,0.31,0.0,,311,12391,480,9346,22528,0.56,0.43,0.04,0.39,-0.08,0.03,0.04,0.03,0.57,-0.0,-0.01,0.99,0.22,0.0,,216.54248394789798,21.031125050252626,False,0.0437034145250192,0.42,963,708,1343,146977,2296,110264,260880,0.57,0.43,0.01,0.37,-0.14,0.01,0.02,0.01,0.57,-0.0,-0.01,0.98,0.11,0.0,,75,192.0,12187.0,726.0,3429.0,16534.0,0.75,0.22,0.06,0.21,-0.04,0.05,0.06,0.04,0.75,-0.0,-0.04,0.76,0.31,0.0,,70,94.0,4972.0,167.0,3203.0,8436.0,0.6,0.39,0.03,0.36,-0.08,0.03,0.03,0.03,0.6,-0.0,-0.01,0.97,0.2,0.0,,107,83.0,6279.0,588.0,1115.0,8065.0,0.79,0.15,0.08,0.12,-0.17,0.07,0.09,0.05,0.79,-0.01,-0.07,0.61,0.41,0.0,
61,CovariantEquals,3.0,24907.0,12.0,8113.0,33035.0,0.75,0.25,0.0,0.2,-0.19,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.01,0.0,,0,12870,1,9657,22528,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,,155.18181320222985,-40.32954569541553,False,0.008083508341019516,0.0,9,0,0,149273,0,111607,260880,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.0,0.0,,18,2.0,12908.0,5.0,3619.0,16534.0,0.78,0.22,0.0,0.29,0.3,0.0,0.0,0.0,0.78,0.0,-0.0,0.76,0.01,0.0,,148,0.0,5139.0,0.0,3297.0,8436.0,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.0,0.0,,106,1.0,6860.0,7.0,1197.0,8065.0,0.85,0.15,0.0,0.12,-0.16,0.0,0.0,0.0,0.85,-0.0,-0.0,0.61,0.01,0.0,
62,IllegalCatch,1303.0,19675.0,5244.0,6813.0,33035.0,0.64,0.25,0.2,0.2,-0.19,0.16,0.21,0.1,0.65,-0.03,-0.16,0.8,0.72,0.0,,223,12621,250,9434,22528,0.57,0.43,0.02,0.47,0.1,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.15,0.0,,163.780352707183,-31.73100619046238,False,0.21190141826779715,0.040000000000000036,5123,198,6128,140104,9169,105479,260880,0.56,0.43,0.06,0.4,-0.06,0.05,0.06,0.05,0.56,-0.01,-0.02,0.98,0.32,0.0,,35,690.0,10754.0,2159.0,2931.0,16534.0,0.69,0.22,0.17,0.24,0.11,0.19,0.17,0.12,0.68,0.01,-0.11,0.76,0.66,0.0,,45,107.0,4991.0,148.0,3190.0,8436.0,0.6,0.39,0.03,0.42,0.07,0.03,0.03,0.03,0.6,0.0,-0.01,0.97,0.2,0.0,,74,506.0,3930.0,2937.0,692.0,8065.0,0.55,0.15,0.43,0.15,-0.01,0.42,0.43,0.12,0.55,-0.0,-0.35,0.61,0.98,0.0,
63,MagicNumber,2076.0,16567.0,8352.0,6040.0,33035.0,0.56,0.25,0.32,0.2,-0.19,0.26,0.34,0.13,0.59,-0.05,-0.25,0.8,0.9,0.0,,470,12265,606,9187,22528,0.57,0.43,0.05,0.44,0.02,0.05,0.05,0.05,0.56,0.0,-0.01,0.99,0.28,0.0,,174.5756694955453,-20.935689402100078,False,0.54381063586288,0.040000000000000036,7676,339,14075,130234,19039,97532,260880,0.55,0.43,0.13,0.43,-0.01,0.13,0.13,0.11,0.55,-0.0,-0.03,0.98,0.55,0.0,,63,1033.0,9164.0,3749.0,2588.0,16534.0,0.62,0.22,0.29,0.22,-0.01,0.29,0.29,0.14,0.62,-0.0,-0.21,0.76,0.87,0.0,,65,247.0,4724.0,415.0,3050.0,8436.0,0.59,0.39,0.08,0.37,-0.05,0.07,0.08,0.07,0.59,-0.0,-0.03,0.97,0.4,0.0,,43,796.0,2679.0,4188.0,402.0,8065.0,0.43,0.15,0.62,0.16,0.08,0.66,0.61,0.15,0.42,0.03,-0.49,0.61,0.96,0.0,
64,NeedBraces,1176.0,20124.0,4795.0,6940.0,33035.0,0.64,0.25,0.18,0.2,-0.2,0.14,0.19,0.09,0.66,-0.03,-0.15,0.8,0.68,0.0,,364,12404,467,9293,22528,0.57,0.43,0.04,0.44,0.02,0.04,0.04,0.04,0.57,0.0,-0.01,0.99,0.23,0.0,,167.5899300798273,-27.92142881781805,False,0.3844737992426976,0.05000000000000005,4249,231,8802,139590,9683,102805,260880,0.57,0.43,0.07,0.48,0.11,0.08,0.06,0.07,0.56,0.01,-0.01,0.98,0.37,0.0,,85,560.0,10675.0,2238.0,3061.0,16534.0,0.68,0.22,0.17,0.2,-0.09,0.15,0.17,0.1,0.69,-0.01,-0.13,0.76,0.66,0.0,,79,128.0,4889.0,250.0,3169.0,8436.0,0.59,0.39,0.04,0.34,-0.13,0.04,0.05,0.04,0.6,-0.01,-0.02,0.97,0.26,0.0,,26,488.0,4560.0,2307.0,710.0,8065.0,0.63,0.15,0.35,0.17,0.18,0.41,0.34,0.14,0.61,0.03,-0.26,0.61,0.93,0.0,
65,StaticVariableName,185.0,24153.0,766.0,7931.0,33035.0,0.74,0.25,0.03,0.19,-0.21,0.02,0.03,0.02,0.74,-0.0,-0.02,0.8,0.19,0.0,,42,12809,62,9615,22528,0.57,0.43,0.0,0.4,-0.06,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.04,0.0,,206.1805420967358,10.669183199090412,False,0.03629944725019757,0.12,672,91,1547,146849,2424,110060,260880,0.57,0.43,0.02,0.39,-0.09,0.01,0.02,0.01,0.57,-0.0,-0.01,0.98,0.11,0.0,,87,64.0,12647.0,266.0,3557.0,16534.0,0.77,0.22,0.02,0.19,-0.11,0.02,0.02,0.02,0.77,-0.0,-0.02,0.76,0.14,0.0,,21,46.0,5095.0,44.0,3251.0,8436.0,0.61,0.39,0.01,0.51,0.31,0.01,0.01,0.01,0.61,0.0,0.0,0.97,0.09,0.0,,88,75.0,6411.0,456.0,1123.0,8065.0,0.8,0.15,0.07,0.14,-0.05,0.06,0.07,0.05,0.81,-0.0,-0.06,0.61,0.35,0.0,
66,AvoidStarImport,942.0,20957.0,3962.0,7174.0,33035.0,0.66,0.25,0.15,0.19,-0.22,0.12,0.16,0.08,0.68,-0.02,-0.12,0.8,0.61,0.0,,193,12645,226,9464,22528,0.57,0.43,0.02,0.46,0.07,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.13,0.0,,198.23797645871508,2.726617561069702,False,0.10657445009843868,0.07999999999999996,3339,296,4694,143507,5766,106913,260880,0.57,0.43,0.04,0.45,0.05,0.04,0.04,0.04,0.57,0.0,-0.01,0.98,0.24,0.0,,92,486.0,10880.0,2033.0,3135.0,16534.0,0.69,0.22,0.15,0.19,-0.12,0.13,0.16,0.09,0.7,-0.01,-0.12,0.76,0.62,0.0,,116,53.0,4814.0,325.0,3244.0,8436.0,0.58,0.39,0.04,0.14,-0.64,0.02,0.06,0.01,0.6,-0.04,-0.05,0.97,0.26,0.01,,10,403.0,5263.0,1604.0,795.0,8065.0,0.7,0.15,0.25,0.2,0.35,0.34,0.23,0.14,0.68,0.04,-0.17,0.61,0.81,0.0,
