,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,comment
72,HideUtilityClassConstructor,19,10854,25,11156,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,
93,InnerAssignment,38,10829,50,11137,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,
101,JavadocType,16,10858,21,11159,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,
91,ModifiedControlVariable,22,10850,29,11153,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,
56,OneTopLevelClass,3,10875,4,11172,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,
51,AtclauseOrder,103,10740,139,11072,22054,0.49,0.51,0.01,0.43,-0.16,0.01,0.01,0.01,0.49,-0.0,-0.03,
64,ArrayTypeStyle,21,10850,29,11154,22054,0.49,0.51,0.0,0.42,-0.17,0.0,0.0,0.0,0.49,-0.0,-0.03,
142,AnnotationLocation,28,10840,39,11147,22054,0.49,0.51,0.0,0.42,-0.18,0.0,0.0,0.0,0.49,-0.0,-0.03,
89,ConstantName,102,10736,143,11073,22054,0.49,0.51,0.01,0.42,-0.18,0.01,0.01,0.01,0.49,-0.0,-0.03,
124,ThrowsCount,15,10858,21,11160,22054,0.49,0.51,0.0,0.42,-0.18,0.0,0.0,0.0,0.49,-0.0,-0.03,
17,FileTabCharacter,180,10610,269,10995,22054,0.49,0.51,0.02,0.4,-0.21,0.02,0.02,0.02,0.49,-0.01,-0.03,
120,ParameterNumber,68,10771,108,11107,22054,0.49,0.51,0.01,0.39,-0.24,0.01,0.01,0.01,0.49,-0.0,-0.03,
32,EmptyForIteratorPad,12,10859,20,11163,22054,0.49,0.51,0.0,0.38,-0.26,0.0,0.0,0.0,0.49,-0.0,-0.03,
132,MethodCount,7,10867,12,11168,22054,0.49,0.51,0.0,0.37,-0.27,0.0,0.0,0.0,0.49,-0.0,-0.03,
6,OneStatementPerLine,18,10848,31,11157,22054,0.49,0.51,0.0,0.37,-0.28,0.0,0.0,0.0,0.49,-0.0,-0.03,
83,AnnotationUseStyle,27,10829,50,11148,22054,0.49,0.51,0.0,0.35,-0.31,0.0,0.0,0.0,0.49,-0.0,-0.03,
67,UpperEll,6,10867,12,11169,22054,0.49,0.51,0.0,0.33,-0.34,0.0,0.0,0.0,0.49,-0.0,-0.03,
