,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
53,ImportControl,8364.0,14.0,24655.0,2.0,33035.0,0.25,0.25,1.0,0.25,0.0,1.0,1.0,0.25,0.25,0.0,-0.66,0.82,0.01,0.0,
54,AnnotationOnSameLine,6517.0,5327.0,19342.0,1849.0,33035.0,0.36,0.25,0.78,0.25,-0.0,0.78,0.78,0.24,0.36,-0.01,-0.52,0.82,0.76,0.0,
55,ClassFanOutComplexity,2318.0,17789.0,6880.0,6048.0,33035.0,0.61,0.25,0.28,0.25,-0.0,0.28,0.28,0.15,0.61,-0.0,-0.18,0.82,0.85,0.0,
56,FileTabCharacter,2069.0,18607.0,6062.0,6297.0,33035.0,0.63,0.25,0.25,0.25,0.0,0.25,0.25,0.14,0.63,0.0,-0.16,0.82,0.81,0.0,
57,ParameterAssignment,931.0,21919.0,2750.0,7435.0,33035.0,0.69,0.25,0.11,0.25,-0.0,0.11,0.11,0.08,0.69,-0.0,-0.07,0.82,0.5,0.0,
58,JavadocVariable,6733.0,4871.0,19798.0,1633.0,33035.0,0.35,0.25,0.8,0.25,0.0,0.8,0.8,0.24,0.35,0.0,-0.53,0.82,0.72,0.0,
59,FinalLocalVariable,5725.0,7790.0,16879.0,2641.0,33035.0,0.41,0.25,0.68,0.25,0.0,0.68,0.68,0.23,0.41,0.0,-0.45,0.82,0.9,0.0,
60,SeparatorWrap,2937.0,16031.0,8638.0,5429.0,33035.0,0.57,0.25,0.35,0.25,0.0,0.35,0.35,0.17,0.57,0.0,-0.23,0.82,0.93,0.0,
61,ImportOrder,6476.0,5628.0,19041.0,1890.0,33035.0,0.37,0.25,0.77,0.25,0.0,0.77,0.77,0.24,0.37,0.0,-0.51,0.82,0.77,0.0,
62,TrailingComment,1809.0,19353.0,5316.0,6557.0,33035.0,0.64,0.25,0.22,0.25,0.0,0.22,0.22,0.13,0.64,0.0,-0.14,0.82,0.75,0.0,
63,WhitespaceAround,2005.0,18745.0,5924.0,6361.0,33035.0,0.63,0.25,0.24,0.25,-0.0,0.24,0.24,0.14,0.63,-0.0,-0.16,0.82,0.8,0.0,
64,NestedForDepth,196.0,24090.0,579.0,8170.0,33035.0,0.74,0.25,0.02,0.25,-0.0,0.02,0.02,0.02,0.74,-0.0,-0.02,0.82,0.16,0.0,
65,NestedIfDepth,1685.0,19699.0,4970.0,6681.0,33035.0,0.65,0.25,0.2,0.25,-0.0,0.2,0.2,0.13,0.65,-0.0,-0.13,0.82,0.72,0.0,
66,EmptyLineSeparator,5618.0,8180.0,16489.0,2748.0,33035.0,0.42,0.25,0.67,0.25,0.0,0.67,0.67,0.23,0.42,0.0,-0.44,0.82,0.92,0.0,
67,StaticVariableName,240.0,23958.0,711.0,8126.0,33035.0,0.73,0.25,0.03,0.25,-0.0,0.03,0.03,0.03,0.73,-0.0,-0.02,0.82,0.19,0.0,
68,DeclarationOrder,2240.0,18059.0,6610.0,6126.0,33035.0,0.61,0.25,0.27,0.25,-0.0,0.27,0.27,0.15,0.61,-0.0,-0.18,0.82,0.84,0.0,
69,FinalParameters,6896.0,4377.0,20292.0,1470.0,33035.0,0.34,0.25,0.82,0.25,0.0,0.82,0.82,0.24,0.34,0.0,-0.54,0.82,0.67,0.0,
70,MagicNumber,2602.0,16843.0,7826.0,5764.0,33035.0,0.59,0.25,0.32,0.25,-0.01,0.31,0.32,0.16,0.59,-0.0,-0.21,0.82,0.9,0.0,
71,MethodCount,155.0,24206.0,463.0,8211.0,33035.0,0.74,0.25,0.02,0.25,-0.01,0.02,0.02,0.02,0.74,-0.0,-0.01,0.82,0.13,0.0,
72,NPathComplexity,1439.0,20368.0,4301.0,6927.0,33035.0,0.66,0.25,0.17,0.25,-0.01,0.17,0.17,0.11,0.66,-0.0,-0.12,0.82,0.67,0.0,
73,MultipleStringLiterals,3219.0,15051.0,9618.0,5147.0,33035.0,0.55,0.25,0.39,0.25,-0.01,0.38,0.39,0.18,0.55,-0.0,-0.26,0.82,0.96,0.0,
74,RightCurly,997.0,21707.0,2962.0,7369.0,33035.0,0.69,0.25,0.12,0.25,-0.01,0.12,0.12,0.09,0.69,-0.0,-0.08,0.82,0.53,0.0,
75,UncommentedMain,230.0,23981.0,688.0,8136.0,33035.0,0.73,0.25,0.03,0.25,-0.01,0.03,0.03,0.03,0.73,-0.0,-0.02,0.82,0.18,0.0,
76,MissingJavadocType,3935.0,12967.0,11702.0,4431.0,33035.0,0.51,0.25,0.47,0.25,-0.01,0.47,0.47,0.2,0.51,-0.0,-0.31,0.82,1.0,0.0,
77,ReturnCount,2554.0,17087.0,7582.0,5812.0,33035.0,0.59,0.25,0.31,0.25,-0.01,0.31,0.31,0.16,0.6,-0.0,-0.2,0.82,0.89,0.0,
78,CyclomaticComplexity,2001.0,18719.0,5950.0,6365.0,33035.0,0.63,0.25,0.24,0.25,-0.01,0.24,0.24,0.14,0.63,-0.0,-0.16,0.82,0.8,0.0,
79,AbbreviationAsWordInName,330.0,23682.0,987.0,8036.0,33035.0,0.73,0.25,0.04,0.25,-0.01,0.04,0.04,0.04,0.73,-0.0,-0.03,0.82,0.24,0.0,
80,WriteTag,4538.0,11091.0,13578.0,3828.0,33035.0,0.47,0.25,0.55,0.25,-0.01,0.54,0.55,0.21,0.48,-0.01,-0.37,0.82,0.99,0.0,
81,ParenPad,686.0,22614.0,2055.0,7680.0,33035.0,0.71,0.25,0.08,0.25,-0.01,0.08,0.08,0.07,0.71,-0.0,-0.06,0.82,0.41,0.0,
82,ModifierOrder,536.0,23066.0,1603.0,7830.0,33035.0,0.71,0.25,0.06,0.25,-0.01,0.06,0.06,0.05,0.71,-0.0,-0.04,0.82,0.35,0.0,
83,AvoidInlineConditionals,2602.0,16899.0,7770.0,5764.0,33035.0,0.59,0.25,0.31,0.25,-0.01,0.31,0.31,0.16,0.59,-0.0,-0.21,0.82,0.9,0.0,
84,VisibilityModifier,1890.0,19048.0,5621.0,6476.0,33035.0,0.63,0.25,0.23,0.25,-0.01,0.23,0.23,0.14,0.63,-0.0,-0.15,0.82,0.77,0.0,
85,MissingJavadocPackage,1.0,24666.0,3.0,8365.0,33035.0,0.75,0.25,0.0,0.25,-0.01,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.0,0.0,
86,InterfaceTypeParameterName,10.0,24639.0,30.0,8356.0,33035.0,0.75,0.25,0.0,0.25,-0.01,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.01,0.0,
87,Indentation,4273.0,11859.0,12810.0,4093.0,33035.0,0.49,0.25,0.52,0.25,-0.01,0.51,0.52,0.2,0.49,-0.01,-0.35,0.82,1.0,0.0,
88,UnnecessaryParentheses,1085.0,21442.0,3227.0,7281.0,33035.0,0.68,0.25,0.13,0.25,-0.01,0.13,0.13,0.09,0.68,-0.0,-0.09,0.82,0.56,0.0,
89,AvoidStaticImport,1763.0,19355.0,5314.0,6603.0,33035.0,0.64,0.25,0.21,0.25,-0.02,0.21,0.22,0.13,0.64,-0.0,-0.14,0.82,0.75,0.0,
90,InterfaceIsType,30.0,24578.0,91.0,8336.0,33035.0,0.74,0.25,0.0,0.25,-0.02,0.0,0.0,0.0,0.74,-0.0,-0.0,0.82,0.03,0.0,
91,ExplicitInitialization,1100.0,21330.0,3339.0,7266.0,33035.0,0.68,0.25,0.13,0.25,-0.02,0.13,0.14,0.09,0.68,-0.0,-0.09,0.82,0.57,0.0,
92,ExecutableStatementCount,1671.0,19612.0,5057.0,6695.0,33035.0,0.64,0.25,0.2,0.25,-0.02,0.2,0.2,0.12,0.65,-0.0,-0.14,0.82,0.73,0.0,
93,RedundantModifier,712.0,22515.0,2154.0,7654.0,33035.0,0.7,0.25,0.09,0.25,-0.02,0.09,0.09,0.07,0.7,-0.0,-0.06,0.82,0.43,0.0,
94,LeftCurly,1200.0,21016.0,3653.0,7166.0,33035.0,0.67,0.25,0.15,0.25,-0.02,0.14,0.15,0.1,0.67,-0.0,-0.1,0.82,0.6,0.0,
95,IllegalCatch,1623.0,19745.0,4924.0,6743.0,33035.0,0.65,0.25,0.2,0.25,-0.02,0.19,0.2,0.12,0.65,-0.0,-0.13,0.82,0.72,0.0,
96,VariableDeclarationUsageDistance,818.0,22196.0,2473.0,7548.0,33035.0,0.7,0.25,0.1,0.25,-0.02,0.1,0.1,0.08,0.7,-0.0,-0.07,0.82,0.47,0.0,
97,NestedTryDepth,107.0,24341.0,328.0,8259.0,33035.0,0.74,0.25,0.01,0.25,-0.03,0.01,0.01,0.01,0.74,-0.0,-0.01,0.82,0.1,0.0,
98,MethodParamPad,171.0,24145.0,524.0,8195.0,33035.0,0.74,0.25,0.02,0.25,-0.03,0.02,0.02,0.02,0.74,-0.0,-0.01,0.82,0.15,0.0,
99,EqualsAvoidNull,358.0,23565.0,1104.0,8008.0,33035.0,0.72,0.25,0.04,0.24,-0.03,0.04,0.04,0.04,0.72,-0.0,-0.03,0.82,0.26,0.0,
100,EmptyBlock,205.0,24043.0,626.0,8161.0,33035.0,0.73,0.25,0.03,0.25,-0.03,0.02,0.03,0.02,0.73,-0.0,-0.02,0.82,0.17,0.0,
101,JavaNCSS,1216.0,20951.0,3718.0,7150.0,33035.0,0.67,0.25,0.15,0.25,-0.03,0.15,0.15,0.1,0.67,-0.0,-0.1,0.82,0.61,0.0,
102,FileLength,197.0,24062.0,607.0,8169.0,33035.0,0.73,0.25,0.02,0.25,-0.03,0.02,0.02,0.02,0.73,-0.0,-0.02,0.82,0.17,0.0,
103,MemberName,366.0,23542.0,1127.0,8000.0,33035.0,0.72,0.25,0.05,0.25,-0.03,0.04,0.05,0.04,0.72,-0.0,-0.03,0.82,0.27,0.0,
104,MissingCtor,3131.0,15025.0,9644.0,5235.0,33035.0,0.55,0.25,0.39,0.25,-0.03,0.37,0.39,0.17,0.56,-0.01,-0.26,0.82,0.96,0.0,
105,OperatorWrap,1262.0,20810.0,3859.0,7104.0,33035.0,0.67,0.25,0.16,0.25,-0.03,0.15,0.16,0.1,0.67,-0.0,-0.11,0.82,0.62,0.0,
106,FallThrough,54.0,24504.0,165.0,8312.0,33035.0,0.74,0.25,0.01,0.25,-0.03,0.01,0.01,0.01,0.74,-0.0,-0.0,0.82,0.06,0.0,
107,JavadocParagraph,1577.0,19839.0,4830.0,6789.0,33035.0,0.65,0.25,0.19,0.25,-0.03,0.19,0.2,0.12,0.65,-0.0,-0.13,0.82,0.71,0.0,
108,ClassDataAbstractionCoupling,1549.0,19940.0,4729.0,6817.0,33035.0,0.65,0.25,0.19,0.25,-0.03,0.19,0.19,0.12,0.65,-0.0,-0.13,0.82,0.7,0.0,
109,AvoidNestedBlocks,217.0,24002.0,667.0,8149.0,33035.0,0.73,0.25,0.03,0.25,-0.03,0.03,0.03,0.02,0.73,-0.0,-0.02,0.82,0.18,0.0,
110,ArrayTypeStyle,143.0,24232.0,437.0,8223.0,33035.0,0.74,0.25,0.02,0.25,-0.03,0.02,0.02,0.02,0.74,-0.0,-0.01,0.82,0.13,0.0,
111,InnerTypeLast,842.0,22030.0,2639.0,7524.0,33035.0,0.69,0.25,0.11,0.24,-0.04,0.1,0.11,0.08,0.69,-0.0,-0.07,0.82,0.49,0.0,
112,UnusedImports,448.0,23267.0,1402.0,7918.0,33035.0,0.72,0.25,0.06,0.24,-0.04,0.05,0.06,0.05,0.72,-0.0,-0.04,0.82,0.31,0.0,
113,JavadocPackage,1306.0,20624.0,4045.0,7060.0,33035.0,0.66,0.25,0.16,0.24,-0.04,0.16,0.16,0.11,0.67,-0.0,-0.11,0.82,0.64,0.0,
114,MethodLength,492.0,23142.0,1527.0,7874.0,33035.0,0.72,0.25,0.06,0.24,-0.04,0.06,0.06,0.05,0.72,-0.0,-0.04,0.82,0.33,0.0,
115,LocalFinalVariableName,171.0,24139.0,530.0,8195.0,33035.0,0.74,0.25,0.02,0.24,-0.04,0.02,0.02,0.02,0.74,-0.0,-0.01,0.82,0.15,0.0,
116,OneStatementPerLine,86.0,24399.0,270.0,8280.0,33035.0,0.74,0.25,0.01,0.24,-0.05,0.01,0.01,0.01,0.74,-0.0,-0.01,0.82,0.09,0.0,
117,LocalVariableName,319.0,23664.0,1005.0,8047.0,33035.0,0.73,0.25,0.04,0.24,-0.05,0.04,0.04,0.03,0.73,-0.0,-0.03,0.82,0.24,0.0,
118,BooleanExpressionComplexity,401.0,23395.0,1274.0,7965.0,33035.0,0.72,0.25,0.05,0.24,-0.05,0.05,0.05,0.04,0.72,-0.0,-0.04,0.82,0.29,0.0,
119,AnonInnerLength,536.0,22967.0,1702.0,7830.0,33035.0,0.71,0.25,0.07,0.24,-0.05,0.06,0.07,0.05,0.71,-0.0,-0.05,0.82,0.36,0.0,
120,IllegalType,396.0,23409.0,1260.0,7970.0,33035.0,0.72,0.25,0.05,0.24,-0.06,0.05,0.05,0.04,0.72,-0.0,-0.04,0.82,0.29,0.0,
121,EmptyForIteratorPad,80.0,24414.0,255.0,8286.0,33035.0,0.74,0.25,0.01,0.24,-0.06,0.01,0.01,0.01,0.74,-0.0,-0.01,0.82,0.08,0.0,
122,MissingOverride,18.0,24611.0,58.0,8348.0,33035.0,0.75,0.25,0.0,0.24,-0.06,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.02,0.0,
123,NewlineAtEndOfFile,531.0,22953.0,1716.0,7835.0,33035.0,0.71,0.25,0.07,0.24,-0.07,0.06,0.07,0.05,0.71,-0.0,-0.05,0.82,0.36,0.0,
124,NoWhitespaceAfter,438.0,23251.0,1418.0,7928.0,33035.0,0.72,0.25,0.06,0.24,-0.07,0.05,0.06,0.04,0.72,-0.0,-0.04,0.82,0.31,0.0,
125,MultipleVariableDeclarations,272.0,23787.0,882.0,8094.0,33035.0,0.73,0.25,0.03,0.24,-0.07,0.03,0.04,0.03,0.73,-0.0,-0.02,0.82,0.22,0.0,
126,CatchParameterName,280.0,23749.0,920.0,8086.0,33035.0,0.73,0.25,0.04,0.23,-0.08,0.03,0.04,0.03,0.73,-0.0,-0.03,0.82,0.23,0.0,
127,MethodName,177.0,24088.0,581.0,8189.0,33035.0,0.73,0.25,0.02,0.23,-0.08,0.02,0.02,0.02,0.74,-0.0,-0.02,0.82,0.16,0.0,
128,ModifiedControlVariable,107.0,24319.0,350.0,8259.0,33035.0,0.74,0.25,0.01,0.23,-0.08,0.01,0.01,0.01,0.74,-0.0,-0.01,0.82,0.11,0.0,
129,CustomImportOrder,164.0,24119.0,550.0,8202.0,33035.0,0.74,0.25,0.02,0.23,-0.09,0.02,0.02,0.02,0.74,-0.0,-0.02,0.82,0.15,0.0,
130,NoWhitespaceBefore,249.0,23831.0,838.0,8117.0,33035.0,0.73,0.25,0.03,0.23,-0.1,0.03,0.03,0.03,0.73,-0.0,-0.02,0.82,0.21,0.0,
131,SimplifyBooleanExpression,86.0,24375.0,294.0,8280.0,33035.0,0.74,0.25,0.01,0.23,-0.11,0.01,0.01,0.01,0.74,-0.0,-0.01,0.82,0.09,0.0,
132,TypecastParenPad,7.0,24645.0,24.0,8359.0,33035.0,0.75,0.25,0.0,0.23,-0.11,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.01,0.0,
133,InvalidJavadocPosition,198.0,23983.0,686.0,8168.0,33035.0,0.73,0.25,0.03,0.22,-0.12,0.02,0.03,0.02,0.73,-0.0,-0.02,0.82,0.18,0.0,
134,TypeName,75.0,24409.0,260.0,8291.0,33035.0,0.74,0.25,0.01,0.22,-0.12,0.01,0.01,0.01,0.74,-0.0,-0.01,0.82,0.08,0.0,
135,MutableException,8.0,24640.0,29.0,8358.0,33035.0,0.75,0.25,0.0,0.22,-0.15,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.01,0.0,
136,RequireThis,10.0,24632.0,37.0,8356.0,33035.0,0.75,0.25,0.0,0.21,-0.16,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.02,0.0,
137,RedundantImport,27.0,24569.0,100.0,8339.0,33035.0,0.74,0.25,0.0,0.21,-0.16,0.0,0.0,0.0,0.74,-0.0,-0.0,0.82,0.04,0.0,
138,LambdaParameterName,32.0,24550.0,119.0,8334.0,33035.0,0.74,0.25,0.0,0.21,-0.16,0.0,0.0,0.0,0.74,-0.0,-0.0,0.82,0.04,0.0,
139,EmptyStatement,66.0,24421.0,248.0,8300.0,33035.0,0.74,0.25,0.01,0.21,-0.17,0.01,0.01,0.01,0.74,-0.0,-0.01,0.82,0.08,0.0,
140,AnnotationUseStyle,176.0,24009.0,660.0,8190.0,33035.0,0.73,0.25,0.03,0.21,-0.17,0.02,0.03,0.02,0.73,-0.0,-0.02,0.82,0.17,0.0,
141,StringLiteralEquality,17.0,24600.0,69.0,8349.0,33035.0,0.75,0.25,0.0,0.2,-0.22,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.03,0.0,
142,UpperEll,21.0,24579.0,90.0,8345.0,33035.0,0.74,0.25,0.0,0.19,-0.25,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.03,0.0,
143,DefaultComesLast,18.0,24591.0,78.0,8348.0,33035.0,0.74,0.25,0.0,0.19,-0.26,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.03,0.0,
144,IllegalThrows,21.0,24576.0,93.0,8345.0,33035.0,0.74,0.25,0.0,0.18,-0.27,0.0,0.0,0.0,0.75,-0.0,-0.0,0.82,0.03,0.0,
