repo_name,year,Sum_of_Smells,file,MethodLength,NPathComplexity,AvoidInlineConditionals,NestedIfDepth,VisibilityModifier,ccp
CylonicRaider/Instant,2018,458.0,2,0.0,0.0,0.0,0.0,0.0,0.16524795081967214
CylonicRaider/Instant,2019,173.0,1,0.0,0.0,1.0,0.0,0.0,0.13807331378299115
DBCG/cqf-ruler,2017,130.0,2,0.0,0.0,1.0,0.0,0.0,0.1914878048780488
DBCG/cqf-ruler,2018,1078.0,5,0.0,2.0,1.0,8.0,0.0,0.3229
DBCG/cqf-ruler,2019,1902.0,15,1.0,7.0,31.0,48.0,0.0,0.33748972602739724
DV8FromTheWorld/JDA,2017,14638.0,73,5.0,20.0,137.0,57.0,182.0,0.4162304526748971
DV8FromTheWorld/JDA,2018,20325.0,74,4.0,18.0,144.0,49.0,349.0,0.2586269430051813
DV8FromTheWorld/JDA,2019,15584.0,37,3.0,16.0,130.0,23.0,297.0,0.19280382775119614
DataVault/datavault,2017,76.0,1,0.0,0.0,0.0,0.0,0.0,0.11898039215686275
DataVault/datavault,2018,2015.0,16,3.0,5.0,0.0,3.0,18.0,0.33586206896551724
DataVault/datavault,2019,4831.0,31,3.0,8.0,1.0,14.0,17.0,0.30201666666666666
David-Development/ownCloud-Account-Importer,2018,116.0,2,0.0,0.0,0.0,0.0,2.0,0.013727810650887566
David-Development/ownCloud-Account-Importer,2019,727.0,5,0.0,0.0,1.0,1.0,3.0,0.026375565610859717
DigitalCampus/oppia-mobile-android,2017,3711.0,14,0.0,3.0,16.0,6.0,17.0,0.04624752475247524
DigitalCampus/oppia-mobile-android,2018,15335.0,53,5.0,25.0,101.0,76.0,47.0,0.19548523206751056
DigitalCampus/oppia-mobile-android,2019,18384.0,88,5.0,28.0,122.0,87.0,123.0,0.2096375545851528
EBIBioSamples/biosamples-v4,2017,17035.0,95,3.0,23.0,15.0,26.0,78.0,0.16912830558276198
EBIBioSamples/biosamples-v4,2018,14600.0,72,2.0,16.0,19.0,32.0,59.0,0.08640232858990946
EBIBioSamples/biosamples-v4,2019,7994.0,38,2.0,6.0,24.0,13.0,55.0,0.10485826771653542
EBIvariation/eva-ws,2017,1248.0,19,0.0,3.0,18.0,0.0,9.0,0.06910208816705335
EBIvariation/eva-ws,2018,134.0,1,0.0,0.0,2.0,1.0,1.0,0.1441011235955056
EgonOlsen71/basicv2,2017,6759.0,16,1.0,14.0,20.0,39.0,12.0,0.13948985507246375
EgonOlsen71/basicv2,2018,11001.0,20,3.0,21.0,36.0,119.0,11.0,0.17844585987261147
EgonOlsen71/basicv2,2019,7419.0,14,6.0,25.0,36.0,158.0,8.0,0.12554452926208653
EnFlexIT/AgentWorkbench,2017,4440.0,4,0.0,1.0,3.0,9.0,1.0,0.1342690217391304
EnFlexIT/AgentWorkbench,2018,14183.0,13,0.0,13.0,4.0,53.0,2.0,0.08456085918854417
EnFlexIT/AgentWorkbench,2019,7351.0,4,1.0,4.0,1.0,32.0,1.0,0.12231687242798353
EnMasseProject/enmasse,2018,2409.0,23,0.0,2.0,10.0,8.0,3.0,0.37035473411154346
EnMasseProject/enmasse,2019,3080.0,19,0.0,3.0,7.0,17.0,0.0,0.39795115681233934
EpiCanard/GlobalMarketChest,2019,2333.0,23,0.0,0.0,5.0,2.0,19.0,0.3741590909090909
