,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
58,RightCurly,706.0,22251.0,3253.0,6825.0,33035.0,0.69,0.23,0.12,0.18,-0.22,0.09,0.13,0.07,0.71,-0.02,-0.1,0.77,0.53,0.0,
59,ReturnCount,1782.0,17150.0,8354.0,5749.0,33035.0,0.57,0.23,0.31,0.18,-0.23,0.24,0.33,0.11,0.61,-0.05,-0.26,0.77,0.89,0.01,
60,NeedBraces,1043.0,20576.0,4928.0,6488.0,33035.0,0.65,0.23,0.18,0.17,-0.23,0.14,0.19,0.08,0.67,-0.03,-0.15,0.77,0.68,0.0,
61,AvoidInlineConditionals,1815.0,16947.0,8557.0,5716.0,33035.0,0.57,0.23,0.31,0.17,-0.23,0.24,0.34,0.11,0.6,-0.06,-0.26,0.77,0.9,0.01,
62,IllegalToken,34.0,25345.0,159.0,7497.0,33035.0,0.77,0.23,0.01,0.18,-0.23,0.0,0.01,0.0,0.77,-0.0,-0.0,0.77,0.05,0.0,
63,UnnecessaryParentheses,760.0,21952.0,3552.0,6771.0,33035.0,0.69,0.23,0.13,0.18,-0.23,0.1,0.14,0.07,0.7,-0.02,-0.11,0.77,0.56,0.0,
64,LocalVariableName,229.0,24409.0,1095.0,7302.0,33035.0,0.75,0.23,0.04,0.17,-0.24,0.03,0.04,0.03,0.75,-0.01,-0.03,0.77,0.24,0.0,
65,FinalClass,283.0,24151.0,1353.0,7248.0,33035.0,0.74,0.23,0.05,0.17,-0.24,0.04,0.05,0.03,0.75,-0.01,-0.04,0.77,0.28,0.0,
66,VisibilityModifier,1300.0,19293.0,6211.0,6231.0,33035.0,0.62,0.23,0.23,0.17,-0.24,0.17,0.24,0.09,0.65,-0.04,-0.19,0.77,0.77,0.0,
67,InnerTypeLast,606.0,22629.0,2875.0,6925.0,33035.0,0.7,0.23,0.11,0.17,-0.24,0.08,0.11,0.06,0.71,-0.02,-0.09,0.77,0.49,0.0,
68,JavadocStyle,1573.0,17946.0,7558.0,5958.0,33035.0,0.59,0.23,0.28,0.17,-0.24,0.21,0.3,0.1,0.62,-0.05,-0.23,0.77,0.85,0.01,
