,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
78,DefaultComesLast,28.0,24316.0,68.0,8623.0,33035.0,0.74,0.26,0.0,0.29,0.11,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.03,0.0,
79,AbstractClassName,611.0,22876.0,1508.0,8040.0,33035.0,0.71,0.26,0.06,0.29,0.1,0.07,0.06,0.06,0.71,0.0,-0.04,0.83,0.34,0.0,
80,SingleSpaceSeparator,1149.0,21528.0,2856.0,7502.0,33035.0,0.69,0.26,0.12,0.29,0.1,0.13,0.12,0.1,0.68,0.01,-0.07,0.83,0.53,0.0,
81,NoWhitespaceBefore,314.0,23611.0,773.0,8337.0,33035.0,0.72,0.26,0.03,0.29,0.1,0.04,0.03,0.03,0.72,0.0,-0.02,0.83,0.21,0.0,
82,GenericWhitespace,76.0,24196.0,188.0,8575.0,33035.0,0.73,0.26,0.01,0.29,0.1,0.01,0.01,0.01,0.73,0.0,-0.0,0.83,0.07,0.0,
83,OneStatementPerLine,103.0,24131.0,253.0,8548.0,33035.0,0.73,0.26,0.01,0.29,0.1,0.01,0.01,0.01,0.73,0.0,-0.01,0.83,0.09,0.0,
84,TodoComment,729.0,22587.0,1797.0,7922.0,33035.0,0.71,0.26,0.08,0.29,0.1,0.08,0.07,0.07,0.7,0.01,-0.04,0.83,0.39,0.0,
85,WhitespaceAround,2256.0,18711.0,5673.0,6395.0,33035.0,0.63,0.26,0.24,0.28,0.09,0.26,0.23,0.16,0.62,0.02,-0.14,0.83,0.8,0.0,
86,ArrayTrailingComma,166.0,23968.0,416.0,8485.0,33035.0,0.73,0.26,0.02,0.29,0.09,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.13,0.0,
87,EmptyForInitializerPad,4.0,24374.0,10.0,8647.0,33035.0,0.74,0.26,0.0,0.29,0.09,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,
88,JavadocStyle,2596.0,17849.0,6535.0,6055.0,33035.0,0.62,0.26,0.28,0.28,0.09,0.3,0.27,0.17,0.61,0.02,-0.16,0.83,0.85,0.0,
89,TypeName,95.0,24144.0,240.0,8556.0,33035.0,0.73,0.26,0.01,0.28,0.08,0.01,0.01,0.01,0.73,0.0,-0.01,0.83,0.08,0.0,
90,FinalClass,458.0,23206.0,1178.0,8193.0,33035.0,0.72,0.26,0.05,0.28,0.07,0.05,0.05,0.05,0.71,0.0,-0.03,0.83,0.28,0.0,
91,WhitespaceAfter,1523.0,20487.0,3897.0,7128.0,33035.0,0.67,0.26,0.16,0.28,0.07,0.18,0.16,0.12,0.66,0.01,-0.1,0.83,0.64,0.0,
92,AnnotationLocation,152.0,23993.0,391.0,8499.0,33035.0,0.73,0.26,0.02,0.28,0.07,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.12,0.0,
93,FinalParameters,7540.0,4736.0,19648.0,1111.0,33035.0,0.37,0.26,0.82,0.28,0.06,0.87,0.81,0.27,0.35,0.07,-0.5,0.83,0.67,0.0,
94,DesignForExtension,5904.0,8774.0,15610.0,2747.0,33035.0,0.44,0.26,0.65,0.27,0.05,0.68,0.64,0.24,0.43,0.04,-0.4,0.83,0.93,0.0,
95,EmptyLineSeparator,6079.0,8356.0,16028.0,2572.0,33035.0,0.44,0.26,0.67,0.27,0.05,0.7,0.66,0.25,0.42,0.04,-0.41,0.83,0.92,0.0,
96,MethodCount,170.0,23936.0,448.0,8481.0,33035.0,0.73,0.26,0.02,0.28,0.05,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.13,0.0,
97,JavadocVariable,7271.0,5124.0,19260.0,1380.0,33035.0,0.38,0.26,0.8,0.27,0.05,0.84,0.79,0.26,0.36,0.06,-0.49,0.83,0.72,0.0,
98,AnnotationOnSameLine,7050.0,5575.0,18809.0,1601.0,33035.0,0.38,0.26,0.78,0.27,0.04,0.81,0.77,0.26,0.37,0.05,-0.48,0.83,0.76,0.0,
99,ImportOrder,6968.0,5835.0,18549.0,1683.0,33035.0,0.39,0.26,0.77,0.27,0.04,0.81,0.76,0.26,0.37,0.05,-0.47,0.83,0.77,0.0,
100,Indentation,4597.0,11898.0,12486.0,4054.0,33035.0,0.5,0.26,0.52,0.27,0.03,0.53,0.51,0.22,0.49,0.02,-0.32,0.83,1.0,0.0,
101,LocalVariableName,357.0,23417.0,967.0,8294.0,33035.0,0.72,0.26,0.04,0.27,0.03,0.04,0.04,0.04,0.72,0.0,-0.03,0.83,0.24,0.0,
102,SuperFinalize,4.0,24373.0,11.0,8647.0,33035.0,0.74,0.26,0.0,0.27,0.02,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,
103,LineLength,8334.0,1515.0,22869.0,317.0,33035.0,0.3,0.26,0.94,0.27,0.02,0.96,0.94,0.26,0.29,0.03,-0.6,0.83,0.31,0.0,
