feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
HideUtilityClassConstructor,13,13428,32,9055,22528,0.6,0.4,0.0,0.29,-0.28,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.02,0.0,
AvoidEscapedUnicodeCharacters,6,13445,15,9062,22528,0.6,0.4,0.0,0.29,-0.29,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
MissingDeprecated,50,13333,127,9018,22528,0.59,0.4,0.01,0.28,-0.3,0.01,0.01,0.01,0.6,-0.0,-0.01,0.97,0.07,0.0,
NestedTryDepth,13,13427,33,9055,22528,0.6,0.4,0.0,0.28,-0.3,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.02,0.0,
MissingOverride,5,13447,13,9063,22528,0.6,0.4,0.0,0.28,-0.31,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
OuterTypeNumber,1,13457,3,9067,22528,0.6,0.4,0.0,0.25,-0.38,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
RequireThis,2,13454,6,9066,22528,0.6,0.4,0.0,0.25,-0.38,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
MethodTypeParameterName,2,13453,7,9066,22528,0.6,0.4,0.0,0.22,-0.45,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
TypeName,2,13453,7,9066,22528,0.6,0.4,0.0,0.22,-0.45,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
ArrayTrailingComma,13,13365,95,9055,22528,0.59,0.4,0.0,0.12,-0.7,0.0,0.01,0.0,0.6,-0.0,-0.01,0.97,0.04,0.0,
