Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_prev_touch_ago,cond_mean_diff_prev_touch_ago,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
138,CovariantEquals,2.0,24763.0,13.0,8257.0,33035.0,0.75,0.25,0.0,0.13,-0.47,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.01,0.0,,0,13459,1,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,,33665.739891894,-3152.043468431155,False,0.008083508341019516,0.0,10,0,0,137922,0,122958,260880,0.53,0.47,0.0,0.0,-1.0,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,,150,0.0,12238.0,7.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.01,0.0,,148,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,5,2.0,6819.0,6.0,1238.0,8065.0,0.85,0.15,0.0,0.25,0.63,0.0,0.0,0.0,0.85,0.0,-0.0,0.62,0.01,0.0,
139,UnnecessarySemicolonInEnumeration,22.0,24630.0,146.0,8237.0,33035.0,0.75,0.25,0.01,0.13,-0.48,0.0,0.01,0.0,0.75,-0.0,-0.01,0.81,0.05,0.0,,5,13454,6,9063,22528,0.6,0.4,0.0,0.45,0.13,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.01,0.0,,28806.50819675353,-8011.275163571623,False,0.015035136921525603,0.07999999999999996,110,10,672,136645,1277,122286,260880,0.53,0.47,0.01,0.34,-0.27,0.01,0.01,0.01,0.53,-0.0,-0.0,1.0,0.06,0.0,,139,10.0,12172.0,73.0,4279.0,16534.0,0.74,0.26,0.01,0.12,-0.54,0.0,0.01,0.0,0.74,-0.0,-0.01,0.83,0.05,0.0,,120,2.0,5694.0,12.0,2728.0,8436.0,0.68,0.32,0.0,0.14,-0.56,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.02,0.0,,96,10.0,6764.0,61.0,1230.0,8065.0,0.84,0.15,0.01,0.14,-0.08,0.01,0.01,0.01,0.84,-0.0,-0.01,0.62,0.07,0.0,
140,ThrowsCount,18.0,24639.0,137.0,8241.0,33035.0,0.75,0.25,0.0,0.12,-0.54,0.0,0.01,0.0,0.75,-0.0,-0.0,0.81,0.04,0.0,,21,13444,16,9047,22528,0.6,0.4,0.0,0.57,0.41,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.02,0.0,,30149.87253784285,-6667.910822482307,False,0.024737331786509567,0.16000000000000006,150,28,14,137860,62,122944,260880,0.53,0.47,0.0,0.18,-0.61,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.0,0.0,,128,12.0,12199.0,46.0,4277.0,16534.0,0.74,0.26,0.0,0.21,-0.2,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.03,0.0,,104,1.0,5703.0,3.0,2729.0,8436.0,0.68,0.32,0.0,0.25,-0.23,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.01,0.0,,144,5.0,6737.0,88.0,1235.0,8065.0,0.84,0.15,0.01,0.05,-0.65,0.0,0.01,0.0,0.84,-0.0,-0.01,0.62,0.09,0.0,
141,RedundantImport,14.0,24663.0,113.0,8245.0,33035.0,0.75,0.25,0.0,0.11,-0.56,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.04,0.0,,15,13452,8,9053,22528,0.6,0.4,0.0,0.65,0.62,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,,31683.2216757121,-5134.561684613058,False,0.0060874251963769005,0.07999999999999996,273,23,244,137580,342,122714,260880,0.53,0.47,0.0,0.42,-0.12,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.02,0.0,,141,6.0,12182.0,63.0,4283.0,16534.0,0.74,0.26,0.0,0.09,-0.66,0.0,0.01,0.0,0.74,-0.0,-0.0,0.83,0.04,0.0,,114,3.0,5693.0,13.0,2727.0,8436.0,0.68,0.32,0.0,0.19,-0.42,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.02,0.0,,129,5.0,6788.0,37.0,1235.0,8065.0,0.84,0.15,0.01,0.12,-0.23,0.0,0.01,0.0,0.84,-0.0,-0.0,0.62,0.05,0.0,
142,PackageDeclaration,10.0,24690.0,86.0,8249.0,33035.0,0.75,0.25,0.0,0.1,-0.58,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.03,0.0,,11,13460,0,9057,22528,0.6,0.4,0.0,1.0,1.48,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,,20835.01247166721,-15982.770888657948,False,0.003032920476441598,0.31000000000000005,25,11,97,137834,88,122861,260880,0.53,0.47,0.0,0.52,0.11,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.01,0.0,,142,4.0,12183.0,62.0,4285.0,16534.0,0.74,0.26,0.0,0.06,-0.77,0.0,0.01,0.0,0.74,-0.0,-0.0,0.83,0.04,0.0,,122,1.0,5699.0,7.0,2729.0,8436.0,0.68,0.32,0.0,0.12,-0.61,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.01,0.0,,9,5.0,6808.0,17.0,1235.0,8065.0,0.84,0.15,0.0,0.23,0.48,0.0,0.0,0.0,0.84,0.0,-0.0,0.62,0.03,0.0,
143,FileLength,82.0,24054.0,722.0,8177.0,33035.0,0.73,0.25,0.02,0.1,-0.59,0.01,0.03,0.01,0.74,-0.01,-0.03,0.81,0.17,0.0,,6,13448,12,9062,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,,24010.999393997678,-12806.783966327483,False,0.443836830531701,0.020000000000000014,863,18,1199,134221,3701,121759,260880,0.52,0.47,0.02,0.24,-0.48,0.01,0.03,0.01,0.53,-0.02,-0.02,1.0,0.13,0.0,,143,0.0,12245.0,0.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.0,0.0,,140,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,137,82.0,6103.0,722.0,1158.0,8065.0,0.77,0.15,0.1,0.1,-0.34,0.07,0.11,0.04,0.78,-0.01,-0.09,0.62,0.47,0.0,
144,SingleLineJavadoc,40.0,24377.0,399.0,8219.0,33035.0,0.74,0.25,0.01,0.09,-0.64,0.0,0.02,0.0,0.74,-0.01,-0.01,0.81,0.1,0.0,,12,13448,12,9056,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,,26861.888129637202,-9955.895230687956,False,0.037038551659952734,0.040000000000000036,369,15,243,137473,449,122715,260880,0.53,0.47,0.0,0.35,-0.25,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.03,0.0,,138,18.0,12113.0,132.0,4271.0,16534.0,0.73,0.26,0.01,0.12,-0.54,0.0,0.01,0.0,0.74,-0.0,-0.01,0.83,0.07,0.0,,124,4.0,5649.0,57.0,2726.0,8436.0,0.67,0.32,0.01,0.07,-0.8,0.0,0.01,0.0,0.67,-0.01,-0.01,0.91,0.06,0.0,,141,18.0,6615.0,210.0,1222.0,8065.0,0.82,0.15,0.03,0.08,-0.49,0.01,0.03,0.01,0.83,-0.01,-0.03,0.62,0.19,0.0,
145,IllegalToken,17.0,24600.0,176.0,8242.0,33035.0,0.75,0.25,0.01,0.09,-0.65,0.0,0.01,0.0,0.75,-0.0,-0.01,0.81,0.05,0.0,,5,13458,2,9063,22528,0.6,0.4,0.0,0.71,0.77,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,26779.22221885576,-10038.5611414694,False,0.14292391043611907,0.030000000000000027,173,6,1073,135340,2582,121885,260880,0.52,0.47,0.01,0.29,-0.38,0.01,0.02,0.01,0.53,-0.01,-0.01,1.0,0.11,0.0,,80,8.0,12222.0,23.0,4281.0,16534.0,0.74,0.26,0.0,0.26,-0.01,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.02,0.0,,142,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,143,9.0,6672.0,153.0,1231.0,8065.0,0.83,0.15,0.02,0.06,-0.64,0.01,0.02,0.01,0.83,-0.0,-0.02,0.62,0.14,0.0,
146,NoLineWrap,1.0,24764.0,12.0,8258.0,33035.0,0.75,0.25,0.0,0.08,-0.69,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.01,0.0,,2,13458,2,9066,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,30621.411202461037,-6196.372157864123,False,0.004941802995296936,0.2,16,4,0,137922,0,122958,260880,0.53,0.47,0.0,0.0,-1.0,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,,148,0.0,12243.0,2.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.0,0.0,,129,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,140,1.0,6815.0,10.0,1239.0,8065.0,0.85,0.15,0.0,0.09,-0.41,0.0,0.0,0.0,0.85,-0.0,-0.0,0.62,0.01,0.0,
147,OuterTypeFilename,0.0,24775.0,1.0,8259.0,33035.0,0.75,0.25,0.0,0.0,-1.0,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.0,0.0,,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,15013.133333333335,-21804.650026991818,False,-0.0014663861497079744,0.0,1,0,0,137922,0,122958,260880,0.53,0.47,0.0,0.0,-1.0,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,,147,0.0,12244.0,1.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.0,0.0,,138,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,146,0.0,6825.0,0.0,1240.0,8065.0,0.85,0.15,0.0,0.0,-1.0,0.0,0.0,0.0,0.85,0.0,0.0,0.62,0.0,0.0,
148,SuppressWarnings,0.0,24776.0,0.0,8259.0,33035.0,0.75,0.25,0.0,0.0,-1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.81,0.0,0.0,,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,,,True,,1.0,0,0,0,137922,0,122958,260880,0.53,0.47,0.0,0.0,-1.0,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,,146,0.0,12245.0,0.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.0,0.0,,150,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,148,0.0,6825.0,0.0,1240.0,8065.0,0.85,0.15,0.0,0.0,-1.0,0.0,0.0,0.0,0.85,0.0,0.0,0.62,0.0,0.0,
149,RegexpOnFilename,0.0,24776.0,0.0,8259.0,33035.0,0.75,0.25,0.0,0.0,-1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.81,0.0,0.0,,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,,,True,,1.0,0,0,0,137922,0,122958,260880,0.53,0.47,0.0,0.0,-1.0,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,,144,0.0,12245.0,0.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.0,0.0,,147,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,147,0.0,6825.0,0.0,1240.0,8065.0,0.85,0.15,0.0,0.0,-1.0,0.0,0.0,0.0,0.85,0.0,0.0,0.62,0.0,0.0,
150,Regexp,0.0,24773.0,3.0,8259.0,33035.0,0.75,0.25,0.0,0.0,-1.0,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.0,0.0,,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,6234.6248737373735,-30583.158486587785,False,-0.00511864737356087,0.0,2,0,0,137922,0,122958,260880,0.53,0.47,0.0,0.0,-1.0,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,,149,0.0,12245.0,0.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.0,0.0,,139,0.0,5703.0,3.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,0.0,,150,0.0,6825.0,0.0,1240.0,8065.0,0.85,0.15,0.0,0.0,-1.0,0.0,0.0,0.0,0.85,0.0,0.0,0.62,0.0,0.0,
